"","cold_1","cold_2","cold_3","hot_1","hot_2","con_1","con_2","con_3","con_4"
"CG14422",17.7776693838778,15.8194341442844,0,0.389948946082302,6.19852548814667,3.85533145828091,7.75526231736896,2.67641427371929,2.54213161220654
"CG14423",0,0,24.9493818732573,0,0,3.85533145828091,4.52390301846523,0,0.847377204068847
"CG14424",0,0,0,0,0,0,1.93881557934224,0,0.847377204068847
"CG14427",0,0,0,14.4281110050452,0,0,18.0956120738609,0,8.47377204068847
"CG14431",654.541463679139,227.943664715371,371.901723548242,216.031716129595,16.271129406385,763.355628739621,748.382813626105,446.961183711122,510.968454053515
"CG14434",155.150569168388,38.1104549839579,206.612068637912,251.907019169167,180.532054842272,639.985022074632,837.568330275848,90.998085306456,72.8744395499209
"CG14435",1792.31230424732,1891.14144543036,1645.87953545145,1693.15832388935,1294.71701133664,1939.2317235153,1500.64325841089,1035.77232392937,894.830327496703
"CG14438",2270.69322584985,2267.21253895131,2213.47797306805,3239.30589510568,911.18324675756,5779.14185596309,4150.35788351196,1854.75509168747,1750.68130360624
"CG14439",324.846504196313,254.549076685304,153.59463215724,203.943298801044,576.46287039764,589.86571311698,185.480023757074,1798.55039193937,871.951142986844
"CG1444",3375.33295529353,3814.64082433768,4632.00867840693,3803.17207114069,3045.02564605205,3500.64096411907,4464.4460073654,5949.66893047799,6185.85358970259
"CG14440",3170.88975737894,3137.28141688695,2420.8697098895,1645.58455246731,929.004007535982,859.738915196644,719.946851795752,297.081984382842,290.650380995615
"CG14441",3081.19333457846,2619.55448125583,2576.02367841382,1578.51333374116,774.040870332315,1052.50548811069,929.338934364714,1720.93437800151,1904.90395474677
"CG14442",9403.57902819029,10137.3810257328,9552.4945847234,6069.16539682494,2667.69040696112,3766.65883474045,3887.97150844097,1584.43725004182,1513.41568646696
"CG14443",0,0,0,6.23918313731683,4.64889411611,3.85533145828091,3.23135929890373,34.7933855583508,46.6057462237866
"CG14445",43.6360975786092,5.75252150701252,0.779668183539292,40.9446393386417,244.066941095775,65.5406347907756,63.9809141182939,149.87919932828,230.486599506726
"CG14446",3937.75376852894,3104.92348341001,3963.05337693022,2233.23761421334,498.981301795807,3188.35911599832,2659.40870299777,1927.01827707789,2136.23793145756
"CG14448",60.6056910814017,87.7259529819409,151.255627606623,123.61381590809,23.24447058055,3.85533145828091,1.29254371956149,867.158224685051,1054.98461906571
"CG14450",303.836531288094,288.345140539002,321.223291618188,389.169048190137,215.398760713097,339.26916832872,293.407424340459,107.056570948772,125.411826202189
"CG14451",0,0,0,3.50954051474072,7.74815686018334,3.85533145828091,13.5717090553957,40.1462141057894,83.8903432028159
"CG14452",30.7068834812435,98.5119308075894,38.9834091769646,24.1768346571027,4.64889411611,0,3.23135929890373,0,33.8950881627539
"CG14453",4.84845528651214,0,0,0,0,7.71066291656183,21.3269713727646,8.02924282115788,3.38950881627539
"CG14454",1.61615176217071,8.62878226051878,0,0,0,0,2.58508743912299,0,0
"CG14455",0,0,0,2.33969367649381,30.9926274407333,3.85533145828091,0,0,0
"CG14456",103.433712778926,133.746125038041,79.5261547210078,190.295085688163,483.48498807544,11.5659943748427,67.2122734171977,254.259356003333,343.187767647883
"CG14457",44.4441734596946,50.3345631863595,24.9493818732573,36.6552009317364,271.185490106417,77.1066291656183,52.3480206422405,149.87919932828,72.027062345852
"CG14459",528.481626229823,484.649936965805,325.121632535885,17.9376515197859,0.774815686018334,7.71066291656183,11.6328934760534,50.8518712006666,62.7059131010947
"CG14463",21.0099729082193,152.441819935832,0.779668183539292,143.891161104369,143.340901913392,597.576376033542,545.45344965495,184.672584886631,210.149546609074
"CG14464",144.645582714279,94.9166048657065,92.0008456576364,360.312826180047,199.127631306712,616.853033324946,241.705675557999,165.937684970596,69.4849307336455
"CG14476",8057.32461030209,7066.2536061765,6401.85545504112,6066.04580525629,11353.3742472266,10031.5724544469,8513.33920889178,7306.61096725367,7050.17833785281
"CG14478",13161.1318752372,12799.3603531028,12661.8113006781,8902.92438800503,2844.3483833733,5239.39545180376,3800.72480737057,1554.99669303091,1361.73516693864
"CG14480",2631.90314469501,3101.32815746812,3859.35750851949,1732.54316744367,2054.81119932062,474.205769368553,443.342495809592,1415.82315079751,1367.66680736712
"CG14482",155.150569168388,96.3547352424597,318.104618884031,287.782322208739,619.852548814667,848.172920821801,512.493584806132,907.304438790841,988.041819944276
"CG14483",359.593767082984,438.629764909704,276.002536972909,757.28085329183,1930.84068955769,516.614415409643,329.598648488181,778.836553652315,642.311920684186
"CG14488",18.5857452649632,20.1338252745438,16.3730318543251,57.7124440201806,17.0459450924033,0,0,500.489469185508,366.066952157742
"CG14490",9.69691057302427,2.87626075350626,0,31.5858646326664,6.19852548814667,15.4213258331237,21.3269713727646,2.67641427371929,20.3370528976523
"CG14495",117.979078638462,172.575645210376,237.019127795945,48.7436182602877,317.674431267517,57.8299718742137,58.1644673802672,85.6452567590174,111.006413733019
"CG14499",537.370460921762,470.268633198273,304.070591580324,7.79897892164603,402.904156729533,771.066291656183,335.415095226208,832.364839126701,388.946136667601
"CG14500",247.271219612119,500.469371110089,321.223291618188,327.557114709133,3468.07501061806,96.3832864570229,93.7094196682083,99.0273281276139,121.174940181845
"CG14502",12.1211382162803,30.2007379118157,60.8141183160648,53.4230056132753,0,57.8299718742137,18.7418839336417,77.6160139378595,45.7583690197178
"CG14505",8.08075881085356,48.8964328096064,107.594209328422,37.435098823901,6.973341174165,3.85533145828091,1.29254371956149,190.02541343407,405.046303544909
"CG14506",3.23230352434142,18.6956948977907,18.712036404943,27.2964262257611,30.9926274407333,0,0.646271859780747,85.6452567590174,113.548545345226
"CG14507",21.0099729082193,96.3547352424597,92.0008456576364,46.0139756377116,24.7941019525867,23.1319887496855,20.6806995129839,160.584856423158,422.841224830355
"CG14508",20.2018970271339,70.4683884609033,59.2547819489862,97.4872365205754,78.2563842878517,0,6.46271859780747,909.98085306456,1263.43941126665
"CG14509",1726.85815787941,962.109222047843,849.838320057828,323.65762524831,218.49802345717,212.04323020545,363.85105705656,1041.12515247681,1296.48712222534
"CG14511",49.2926287462067,120.802951647263,18.712036404943,53.033056667193,58.8859921373934,188.911241455765,261.740103211202,131.144299412245,126.259203406258
"CG14512",43.6360975786092,124.398277589146,108.373877511962,209.012635100114,145.665348971447,42.4086460410901,39.4225834466256,26.7641427371929,23.7265617139277
"CG14515",26.6665040758168,4.31439113025939,0,0,0,0,7.10899045758821,0,6.77901763255078
