"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","cold_1","cold_2","cold_3","hot_1","hot_2","con_1","con_2","con_3","con_4"
"CR45520",181.374341624417,-7.69829581788029,0.723054183421234,-10.6469141516542,1.80241128132751e-26,1.61653761794061e-23,58.1743043189878,39.5462293299009,42.0930271991554,1.94960771007451,1.54933185921408,254.451913170213,304.432642292381,463.140770715897,467.031248023928
"CR40677",28106.6290592845,-7.48763353398158,0.717807669468818,-10.4312531788947,1.78518139759895e-25,1.50690312091441e-22,43.6307282392409,25.1657823008461,15.5900100737613,145.440735171558,557.759469317068,84971.5176707802,33766.8154960479,72573.8910597528,60859.8505818767
"CG5010",3873.32311806898,2.53260596824855,0.244289323534894,10.3672396795793,3.49473967141382e-25,2.78608412693268e-22,4300.05066091185,4288.24930406417,3474.2337449377,8615.70639236127,8316.03875433156,1657.79276762411,1279.13418067223,1542.01782619859,1386.68443151932
"CR31144",2151.76689039509,-7.78800419892389,0.751628491231587,-10.3615074332305,3.71067296786727e-25,2.80253458362607e-22,27.4711992617443,36.67013992409,37.416024177027,35.0929387813412,7.74665929607038,4695.79439759575,8671.48265179318,2513.8103104175,3340.41769230907
"CR44976",216.958448203047,-6.77972691006321,0.66083781468495,-10.2592901910364,1.07493957574187e-24,7.71269145594789e-22,0,0,0,5.45890158820862,3.09866371842815,354.690545631206,662.512650423972,431.015399336759,495.849873128853
"Sgs8",2899.65818847676,27.5909660605481,2.72584556152445,10.1219843302926,4.4137504564577e-24,3.01606281191276e-21,8662.31550838706,7476.39441040564,4852.39063545819,0,5105.82314203999,0,0,0,0
"Cpr49Af",1040.33359890119,28.8818480465079,2.89144005928692,9.98874175300409,1.70735129896476e-23,1.11365868818838e-20,46.8626340347402,50.3315646016921,4.67700302212838,0,9261.13118845214,0,0,0,0
"CG7587",610.337648576961,26.8425471952421,2.68994346376885,9.97885180740314,1.88636949844429e-23,1.17693053489894e-20,1194.189191437,1003.75520262803,570.594368699662,0,2724.50007442795,0,0,0,0
"CG31789",447.125503187605,26.9601152415357,2.7049851324655,9.96682566493906,2.12925390169468e-23,1.27311639538828e-20,332.88629693643,510.505869531448,243.204157150676,0,2937.53320506989,0,0,0,0
"CG7606",2774.26726284854,26.0704510043105,2.63511421939809,9.8934804466523,4.44306427470329e-23,2.55031889367969e-20,10388.1532031837,8080.37318562594,4691.03403119476,0,1808.84494563243,0,0,0,0
"CG17826",2262.37371041814,27.9699510859712,2.83194870834863,9.87657403663962,5.26005551128196e-23,2.90314602257293e-20,1085.92034728777,954.861682729244,706.227456341385,0,17614.3539074048,0,0,0,0
"CG11349",285.98968216235,26.8141904951454,2.72123996254737,9.8536662933777,6.60882499891065e-23,3.41108265791827e-20,142.20385500197,63.2739669278415,44.4315287102196,0,2323.99778882112,0,0,0,0
"CG44956",313.655997661896,27.310642829082,2.77182252098491,9.8529550944617,6.65577103984053e-23,3.41108265791827e-20,4.03988224437416,2.87608940581098,12.472008059009,0,2803.51599924787,0,0,0,0
"rempA",976.615308499638,-5.53892580095751,0.56336818286072,-9.83180443885111,8.21337391303201e-23,4.06420398800032e-20,107.460867700353,138.052291478927,134.853587138035,70.5757991046972,17.8173163809619,1919.95534482979,1808.49794720612,2280.90136791875,2311.42325473911
"CG18606",418.508082274407,27.3307155221595,2.78889690329152,9.79982999368071,1.12775293208815e-22,5.2799143174995e-20,180.986724547962,126.547933855683,24.944016118018,0,3434.094065948,0,0,0,0
"Cpr67Fa1",503.083730913092,27.7449427526881,2.83149655750793,9.79868496718467,1.14060866789188e-22,5.2799143174995e-20,19.3914347729959,2.87608940581098,4.67700302212838,0,4500.80905101689,0,0,0,0
"CG8087",193.629888651786,25.7796993180642,2.64058779227534,9.76286393259827,1.62500200051049e-22,7.28711834603921e-20,159.979336877217,204.202347812579,182.403117863007,0,1196.08419531327,0,0,0,0
"CG31698",331.19974482695,25.7394153174249,2.64036824788554,9.74841874349819,1.8736384488154e-22,8.14748840621241e-20,918.669222370683,404.090561516442,415.473768465738,0,1242.56415108969,0,0,0,0
"CG15404",215.817579618893,24.6301144952459,2.59302324343466,9.49860922288584,2.12712133493556e-21,8.97770328127214e-19,539.728267848387,358.073131023467,299.328193416216,0,745.228624281971,0,0,0,0
"Muc96D",340219.170562888,14.8192872598537,1.62753601415097,9.10535135997252,8.59876522736067e-20,3.52549374321787e-17,548691.150595756,614188.173588583,596079.35816724,453.868674905346,1302470.61675806,3.8553320177305,16.8051989375837,34.8024856607321,33.9042648293233
"CR44065",152.843646984992,-6.11631305751727,0.683748596861588,-8.94526597289003,3.71055103115341e-19,1.47906686936254e-16,0,0,0,3.89921542014902,6.19732743685631,443.363182039007,420.129973439592,240.94028534353,261.062839185789
"vsg",154607.315494149,3.95763152927295,0.443317356834649,8.927310127289,4.36492446883659e-19,1.69288286831906e-16,441935.646335271,408258.015065462,379593.360280976,41644.4005302755,101592.788672385,4703.50506163121,3755.31560874466,5485.4071629877,4497.40072960973
"Lcp4",124680.804524243,20.728346198342,2.35149963145232,8.81494767045311,1.19740976855176e-18,4.52179741545205e-16,53618.9331002315,43871.8677962407,33212.1779606373,22.2255278948494,991401.188726566,0,0,0,0.847606620733081
"CR45141",945.63785932215,-9.70827272808658,1.1147847512208,-8.70865224650324,3.07509106281215e-18,1.13147581413729e-15,1.61595289774966,0,0,4.67905850417882,0,2698.73241241135,3214.96382752082,1394.77654071088,1195.97294185438
"CR44986",156.513504151669,-6.43243112583586,0.73917191569096,-8.70221255609121,3.25475235306733e-18,1.16764240666291e-15,0,0,0,2.33952925208941,6.19732743685631,458.784510109929,275.993074859547,404.244256520811,261.062839185789
"CR44116",486.635232574445,-6.88299274823696,0.800635967089483,-8.59690674809226,8.18934784180134e-18,2.86627174463047e-15,5.65583514212382,0,7.79500503688063,7.01858775626823,11.6199889441056,929.13501627305,789.197996261141,1402.80788355566,1226.48678020077
"CG33655",888.72155175288,-5.96673456683376,0.703406565858375,-8.48262563422689,2.2016816717096e-17,7.52241237834113e-15,16.9675054263715,18.6945811377714,10.9130070516329,51.469643545967,10.8453230144985,1318.52355006383,1411.63671075703,2687.82273872116,2471.62090605767
"RNaseMRP:RNA",640.325059894989,-9.83189750888774,1.16126296888366,-8.46655561430611,2.52756173921167e-17,8.4350025482994e-15,0,0,0,0.389921542014902,3.09866371842815,2879.93301724468,985.689553069812,1255.56659806795,638.24778541201
"CG34231",400.306962728805,-3.01758868655538,0.359584797273873,-8.39186948233819,4.78471924554518e-17,1.56047093576303e-14,56.5583514212382,78.3734363083491,60.0215387839808,114.636933352381,82.8892544679531,744.079079421986,641.829328654638,851.322341547139,973.052400601577
"CR44095",813.595084455634,-7.02211331780105,0.838137716791786,-8.37823328686391,5.37280717857136e-17,1.71332851138887e-14,19.3914347729959,35.9511175726372,14.0310090663851,16.7666263066408,10.8453230144985,948.411676361703,617.914237858846,3742.6057656695,1916.4385694775
"obst-G",73.4192175792428,24.7800147893939,2.9725365091064,8.33631974358599,7.66385045156512e-17,2.39078812999912e-14,48.4785869324899,66.1500563336525,0.779500503688063,0,545.364814443355,0,0,0,0
"Lcp2",60950.6500448017,19.5512224815605,2.37678940019278,8.22589602594775,1.93737023599977e-16,5.91516231629717e-14,41558.2686478769,34614.4550212866,34575.5243415877,6.62866621425333,437800.126119629,0,0,0,0.847606620733081
"Cdc37",3706.86359836225,1.73511365445966,0.211045289316375,8.22152278347504,2.00935322035191e-16,6.00712889834373e-14,4979.55885441558,5501.9590333164,5921.08582601453,5837.12548396308,4757.22347371682,1580.6861272695,1586.15223818578,1587.5287689857,1610.45257939285
