"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"CG30323",19.4382684534107,-0.61100934960737,0.597393092684944,-1.02279279270075,0.306405826451168,0.831407928525684
"CG30324",8.1737726844939,-0.356512389419267,1.02502565950748,-0.347808258371374,0.727984187164441,0.892932548588937
"CG30325",24.0499035100382,-1.12273093311256,0.829171285666259,-1.35403981363201,0.175723676051668,0.831407928525684
"CG30334",17.5080275263646,0.412679121273243,0.879998878113408,0.468954144757511,0.639102413063964,0.859098450676397
"CG30338",26.322090013293,-0.541231222420301,0.497888960408577,-1.08705206473378,0.277013800734819,0.831407928525684
"CG30339",22.8402732102199,-1.1851257292466,0.877314704479113,-1.35085588238287,0.176741602925034,0.831407928525684
"CG30340",13.4075763964898,-0.654428143317813,1.00470239081263,-0.651365169728013,0.51481078884084,0.831618050232817
"CG30343",12.9127090741423,-1.06639051742003,0.892304070579102,-1.19509767194937,0.232048871476433,0.831407928525684
"CG30344",78.2916147788167,-0.412704231088613,0.33848360246766,-1.21927392665364,0.222740241284704,0.831407928525684
"CG30345",36.0829709818921,-0.435379984389019,0.644617024989112,-0.675408758241179,0.499416102614976,0.831407928525684
"CG30349",82.5235076564299,-0.273929195136234,0.272637240161914,-1.00473873258676,0.315022672322498,0.831407928525684
"CG30350",42.1041157026445,0.0818743130952242,0.437053913712108,0.187332295917056,0.851400102702953,0.942842140699168
"CG30354",12.5428798817718,-0.706024831304258,0.908341363773652,-0.777268171925055,0.43700056903595,0.831407928525684
"CG30355",12.6217677720071,-1.49322517041648,0.914553299834782,-1.63273717418792,0.102524285462305,0.831407928525684
"CG30356",10.6344392658767,-0.606413927079558,0.862590968080183,-0.703014464003974,0.482046735626545,0.831407928525684
"CG30357",60.1939843073952,-0.188313768960685,0.503354804112798,-0.374117357025334,0.708317005790025,0.885741855536408
"CG3036",222.092022847182,0.114319429787934,0.443927996574549,0.25751795487117,0.796778956583626,0.923656878368098
"CG30369",4.28240443997697,-0.636490054896384,1.31304704004734,-0.484742766621246,0.62785882582394,0.855671413238115
"CG30371",18.6386779300204,-1.14130075233852,0.882790617138015,-1.29283289851742,0.196068859371999,0.831407928525684
"CG30373",110.698548126599,0.409223350430843,0.406951790914731,1.00558188848612,0.314616739819251,0.831407928525684
"CG30375",17.5735887384408,-0.516613772394674,1.08498907192871,-0.476146521435763,0.633969995875706,0.857388063102239
"CG30376",15.4172689091099,-0.90732126108386,1.0274087310939,-0.88311616752353,0.377173509738843,0.831407928525684
"CG30377",65.3734709532635,-1.07594671496227,0.717627552792804,-1.49931076472048,0.133793031037967,0.831407928525684
"CG30378",15.1466825711878,-0.900840916874204,0.999226480255434,-0.901538274530035,0.367302193100169,0.831407928525684
"CG30379",13.7146941329611,-0.36933013873206,0.968214604869584,-0.38145483126833,0.702865781452087,0.88351360271197
"CG3038",12.6091153810392,-1.81080548341438,0.906098673411572,-1.99846389422078,0.0456663905599116,0.831407928525684
"CG30380",8.28312530699541,-0.790397256155409,1.06562418323557,-0.741722333811449,0.458255585308356,0.831407928525684
"CG30381",43.2198613503387,0.0634468475535104,0.452865865963197,0.140100750182542,0.888580387879715,0.957927954551749
"CG30382",0.162294988172233,-1.48789483546736,4.06024140364257,-0.36645477141643,0.714025756017145,0.88676305963414
