"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","ctrl_1","ctrl_2","ctrl_3","hot_1","hot_2","hot_3","cold_1","cold_2"
"CG13693",38.9978615017465,-5.37335985685557,1.27665260700403,-4.20894441242355,2.56566492827212e-05,8.00558164922073e-05,48.0231859805661,105.482222356728,134.41804807725,5.64807671329153,0.412224893183567,0,17.9991339929519,0
"mir-965",8.18035863815812,-0.682315543077663,1.47674817696743,-0.462039197826422,0.644053211193397,0.692926590010624,1.12995731718979,1.22653746926428,32.6962819647366,8.28384584616091,2.4733493591014,9.43487637866266,8.30729261213166,1.89072815801765
"CR44218",16.0595764899205,-4.17520221433365,1.25697027438393,-3.32163958004498,0.000894902094456438,0.00189210258759891,28.2489329297448,30.663436731607,54.493803274561,4.14192292308045,1.2366746795507,0,9.69184138082027,0
"Rpp30",100.970208590789,-0.928333637309966,0.31527712702035,-2.94450043389936,0.00323476492897686,0.00601387038344032,121.470411597903,149.637571250242,145.316808732163,69.6596127972622,87.3916773549163,56.609258271976,80.3038285839393,97.3725001379087
"CG3645",300.055984228595,-0.00667601263561408,0.198307242519494,-0.0336649965517916,0.973144291846507,0.978328798760638,260.455161612247,343.430491393998,308.798218555846,275.249605161074,331.428814119588,296.255118290008,287.986143887231,296.84432080877
"CG17075",243.389548003675,-2.44060222249654,0.246508390374641,-9.90068621513183,4.1342845421429e-23,5.69848211108758e-21,380.230637234365,485.708837828655,519.507591217482,99.7826886014837,71.3149065207571,81.1399368564989,143.993071943615,165.438713826544
"CR44219",14.6058218899685,-3.96619176608628,1.84395465603106,-2.15091610475017,0.0314828221469559,0.0469679260095433,16.9493597578469,24.5307493852856,58.1267234928651,0,0,7.54790110293013,9.69184138082027,0
"CG3345",49.0752219173725,-6.50507589132689,0.913574886146424,-7.12046269000031,1.07565348952202e-12,2.33244643808667e-11,86.441734765019,177.847933043321,119.886367204034,1.88269223776384,0,3.77395055146506,2.76909753737722,0
"mbm",745.880193955251,0.417255306196865,0.177476468098214,2.35104580718813,0.0187207290513838,0.0293339537557814,697.748643364696,659.877158464182,515.874670999178,701.491127790808,870.206749510511,966.131341175056,776.73185923431,778.98000110327
"CG11555",360.384873687325,0.35977795479906,0.191290181939649,1.88079676202392,0.0599995708099708,0.0840672851506097,338.422216498342,282.103617930784,276.101936591109,388.587677874457,373.887978117496,401.925733731029,466.592935048061,355.456893707317
"CG17078",788.158133020294,0.777009283985227,0.207818087910928,3.7388915074527,0.000184833468400755,0.000463575206901957,641.815756163801,640.252558955954,479.545468816137,1026.44380802885,1148.04632751623,862.347701009767,902.725797184973,604.087646486638
"smo",640.239284318601,0.407323817767926,0.132763950681241,3.06803025729393,0.00215474799535464,0.00417388616331008,572.323381156629,522.504961906583,592.165995583563,748.558433734904,786.112871301063,684.972025090909,585.664129155282,629.612476619876
"CG11601",121.041169761719,-0.477219414657229,0.361033170285783,-1.32181598239153,0.186229434973914,0.232709718074222,87.5716920822088,164.356020881413,181.646010915203,116.726918741358,92.7506009663026,94.3487637866266,125.993937950663,104.935412769979
"CG3625",322.721807386015,-0.403264656611572,0.247705844717924,-1.62799814865407,0.103525278329108,0.137446954250329,394.920082357832,323.80589188577,330.59573986567,339.637679692597,202.814647446315,252.854686948159,341.983545866087,395.162185025688
"Amnionless",69.8319853596213,-2.38502153369789,0.381113209220168,-6.25803954310087,3.89846985282565e-10,4.48112006070626e-09,127.685176842446,147.184496311714,145.316808732163,30.1230758042215,21.0234695523619,30.1916044117205,22.1527802990177,34.9784709233264
"CG11562",289.638492569021,0.373020435924314,0.188548020791168,1.9783842564832,0.0478853744213455,0.068473709513103,279.099457345878,248.987106260649,228.873973753156,331.730372293989,360.696781535621,294.368143014275,293.524338961985,279.827767386612
"U2af38",839.620530500381,0.720884942270179,0.178171360334608,4.04602030829392,5.20957154987384e-05,0.000150139852067364,618.65163116141,516.372274560262,784.710767153679,1090.83188256037,955.949527292693,1083.12380827047,911.033089797105,756.291263207058
"Hop",5300.40764308035,1.32039830642852,0.08643863992296,15.275556251294,1.11274462498366e-52,1.46984292088466e-49,3296.08549424262,2958.40837586544,3226.03315385401,7801.87663329337,7401.08573221777,8487.61479024493,4582.8564243593,4649.30054056539
"Pi3K21B",1632.56578305551,0.673279426824807,0.121257596211954,5.55247215727366,2.81657589131982e-08,1.96589803845489e-07,1425.44115563492,1162.75752086254,1318.75003924438,2203.87953352635,2109.7670033135,1911.50595431706,1536.84913324436,1391.57592430099
"Plc21C",1306.25034043025,0.353160434585337,0.0884329003511958,3.99354124067878,6.50937506233761e-05,0.00018346391200767,1137.30203975152,1171.34328314739,1177.06615073052,1485.44417559567,1445.26047550159,1519.01509696469,1254.40118443188,1260.17031731876
