"ctrl_1"	"ctrl_2"	"ctrl_3"	"hot_1"	"hot_2"	"hot_3"	"cold_1"	"cold_2"
"CR43649"	41.8084207360223	23.3042119160213	10.8987606549122	4.89499981818599	0	0	4.15364630606583	4.72682039504411
"lectin-21Cb"	23.1641250023907	58.8737985246854	72.6584043660814	2.25923068531661	0	0	4.15364630606583	0
"CR44797"	32.7687621985039	24.5307493852856	39.9621224013447	3.01230758042215	0	0	0	0
"CR44798"	9.03965853751833	26.9838243238142	29.0633617464325	0	0	0	4.15364630606583	0
"lectin-21Ca"	32.203783539909	33.1165116701356	54.493803274561	0	0	1.88697527573253	5.53819507475444	1.89072815801765
"CG2839"	168.928618919874	117.747597049371	294.266537682629	16.1911532447691	3.29779914546854	20.7567280330579	40.1519142919697	22.6887378962117
"CR45369"	4.51982926875916	15.9449871004356	3.63292021830407	0	0	0	0	0
"ds"	496.616240904913	594.870672593176	537.672192309002	113.714611160936	135.20976496421	269.837464429752	184.144986235585	121.006602113129
"CR44988"	11.8645518304928	17.1715245696999	0	0	0	0	0	1.89072815801765
"Hsp60B"	96.6113506197271	118.974134518635	123.519287422338	6.77769205594984	3.29779914546854	1.88697527573253	15.2300364555747	2.83609223702647
"Eaat2"	331.077493936609	367.961240779284	272.469016372805	187.516146881279	147.576511759717	130.201294025545	181.375888698208	196.635728433835
"GABA-B-R3"	237.856015268451	349.56317874032	403.254144231751	39.5365369930407	30.0924172024004	67.9311099263711	55.3819507475444	55.7764806615205
"CR44614"	15.2544237820622	19.6245995082285	25.4304415281285	0	0	0	5.53819507475444	0
"CG12506"	22.0341676852009	34.3430491393998	32.6962819647366	0.753076895105537	2.4733493591014	11.3218516543952	1.38454876868861	0
"CG13946"	2.82489329297448	13.4919121619071	18.1646010915203	0	2.06112446591784	0	5.53819507475444	0
"CG13947"	254.240396367703	260.025943484027	250.671495062981	867.544583161579	1235.43800487115	443.439189797145	760.117274010047	182.455267248703
"Gr21a"	59.8877378110589	99.3495350104066	116.25344698573	0	1.64889957273427	1.88697527573253	5.53819507475444	0.945364079008823
"CG3544"	132.7699847698	169.262170758471	294.266537682629	18.8269223776384	0.824449786367135	0	29.0755241424608	0
"Pkg21D"	128.250155501041	213.417519651985	181.646010915203	70.7892281399205	32.1535416683182	56.609258271976	53.9974019788558	43.4867476344058
"CR45259"	18.6442957336315	31.8899742008713	18.1646010915203	0	0	0	0	0
"Nnf1b"	73.4472256173364	78.4983980329139	61.7596437111691	67.7769205594984	86.5672275685491	66.0441346506386	71.9965359718077	40.6506553973794
"Dbp21E2"	171.188533554253	206.058294836399	108.987606549122	195.423454279887	193.333474903093	139.636170404207	135.685779331484	166.384077905553
"Saf6"	100.566201229891	182.754082920378	225.241053534852	134.424225776338	104.705122868626	115.105491819684	127.378486719352	57.6672088195382
"Pex12"	112.430753060384	122.653746926428	116.25344698573	60.6226900559958	65.9559829093708	67.9311099263711	48.4592069041013	70.9023059256617
"CG15880"	33.8987195156937	55.1941861168926	39.9621224013447	3.76538447552769	2.06112446591784	0	6.92274384344305	0
"CG3876"	119.210496963523	176.621395574056	276.101936591109	221.781145608581	183.440077466687	166.053824264463	116.302096569843	102.099320532953
"Clp"	121.470411597903	172.941783166263	134.41804807725	167.936147608535	184.676752146238	124.540368198347	206.297766534603	111.552961323041
"CG3662"	3707.9549363583	3044.26599871394	2949.9312172629	3382.06833591897	2976.26372878536	3930.56949935086	3813.04730896843	4590.68796766684
"CG3862"	175.708362823012	142.278346434656	188.911851351812	129.1526875106	136.858664536944	139.636170404207	142.608523174927	179.619175011676
"dock"	697.183664706101	582.605297900533	599.431836020171	1033.9745769799	1033.86003210439	990.662019759579	764.270920316112	813.013107947588
"drongo"	1860.47472275299	1540.53106139594	1631.18117801853	3034.52334882776	2893.81875014864	2798.38433391135	2008.98026336717	2203.64366816957
"CR44060"	15.8194024406571	8.58576228484996	54.493803274561	5.64807671329153	0.412224893183567	5.6609258271976	0	2.83609223702647
"CG4291"	170.623554895658	143.504883903921	148.949728950467	160.405378657479	149.225411332451	100.009689613824	170.299498548699	179.619175011676
"kraken"	311.303240885787	321.352816947241	290.633617464325	330.224218503778	281.549602044376	235.871909466567	347.521740940841	349.784709233264
"CG13949"	42.3733993946172	65.0064858710068	119.886367204034	5.27153826573876	1.2366746795507	1.88697527573253	6.92274384344305	1.89072815801765
"CR45345"	14.1244664648724	19.6245995082285	18.1646010915203	0.376538447552769	0	0	0	0
"mir-375"	0	0	0	0	0	0	0	0
"CG13950"	55.3679085422998	72.3657106865925	58.1267234928651	6.77769205594984	21.4356944455455	15.0958022058603	26.3064266050836	22.6887378962117
"aru"	440.118375045424	511.466124683205	475.912548597833	260.188067258963	265.060606317034	300.029068841473	355.829033552973	430.140655949014
"snoRNA:Me28S-U1230"	11.8645518304928	18.3980620389642	14.5316808732163	6.0246151608443	0	0	4.15364630606583	0
"dbe"	474.582073219712	452.592326158519	392.355383576839	457.870752224167	474.88307694747	571.753508546957	598.125068073479	646.629030042035
"PNUTS"	1519.22761296167	1405.61193977686	1384.14260317385	2119.53492127454	2314.64277522573	1902.07107793839	1871.909935267	1911.52616775584
"CG15824"	162.148875016735	444.006563873669	323.329899429062	17.6973070349801	1.64889957273427	0	22.1527802990177	0
"ninaA"	57.0628445180844	83.404547909971	32.6962819647366	31.6292295944326	25.9701682705647	35.8525302389181	37.3828167545925	43.4867476344058
"CR45348"	15.2544237820622	31.8899742008713	54.493803274561	3.01230758042215	0	0	2.76909753737722	0
"Lsp1beta"	90.9615640337782	137.372196557599	196.17769178842	17.6973070349801	35.4513408137868	26.4176538602554	24.921877836395	10.3990048690971
"snRNA:U1:95Ca"	0	0	0	0	0	0	0	0
