"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","ctrl_1","ctrl_2","ctrl_3","hot_1","hot_2","hot_3","cold_1","cold_2","cold_3"
"CG11374",123.106452343461,-0.697132432950126,0.351651355141951,-1.98245342370063,0.0474285153731487,0.0691631290908576,137.850257559401,149.212928383086,103.053753815954,78.0235768609121,72.853128019623,95.9191228831598,142.997232297277,218.463173069028,109.584898202707
"net",64.4901727162831,-2.9326120070632,0.425324099795543,-6.89500549927206,5.3862719482374e-12,1.5239302276406e-10,98.8025451176824,151.785565079346,133.588199391052,20.2861299838371,12.4278865445239,17.6177980805804,41.8880781476873,42.5064092396751,61.5089428621645
"Zir",1290.10441321476,0.41173231760662,0.145136594090314,2.83686082195378,0.00455594670976253,0.00857908481928661,1164.92342117794,976.315626230708,1122.14087488483,1416.12792002555,1438.63500448161,1487.72517124901,1314.41900394467,1128.89114771416,1561.76154922438
"CG11377",551.867545850419,0.49053928327124,0.190497840503195,2.57503855148959,0.0100228914459858,0.0172592861721769,514.128213815964,366.600729217064,477.100712110898,684.656886954503,648.392839374645,567.684604818701,515.656686162909,530.835854923385,661.751385275701
"Nhe1",441.464214233847,0.301816530837001,0.165488188984704,1.823794995212,0.0681830708050369,0.0956942664394548,377.461220269948,378.177594350235,484.734323504673,547.335391679298,477.402262434471,473.723015055606,402.992200110509,389.477331172837,441.874589527044
"Sam-S",4078.42189202275,0.304323460472977,0.142547573876547,2.13489049442915,0.0327699559602323,0.0498088240823024,4188.75460738438,3073.01453368269,3095.42942017551,4416.13445032762,4237.0522160589,4167.58801261729,4106.47607496121,5128.44770082406,4292.90001217314
"CG11455",534.676466428948,0.204974703947167,0.147474096156505,1.38990310359075,0.164558303055613,0.210163112093616,517.086373849428,493.946245681939,484.734323504673,551.236570522344,616.680301295515,559.854472338443,509.879020211504,600.032335080995,478.638555375694
"CG13694",30.6530369996959,-2.98836902787437,0.683695298826644,-4.37090767334952,1.23731106881126e-05,4.94799509698274e-05,47.9221925421094,55.3116889695922,95.4201424221797,11.7035365291368,7.2853128019623,3.91506624012897,21.6662473177693,7.90816916086979,24.7449770135144
"CG4822",411.91182801114,-0.724055813420374,0.227973920865314,-3.17604667530434,0.00149296927741619,0.00321743814355034,486.913141508099,514.52733925202,530.535991867319,381.925408734165,215.131001563828,330.823097290898,424.658447428278,416.167402090773,406.52462236488
"CG3164",4541.25483375692,-0.0248766706911675,0.200765728697053,-0.123908950260656,0.901387366281524,0.919257301194932,5219.96919504977,3317.4150198274,4099.24931845684,3514.96213758409,3534.66235238736,5394.96127889772,5074.23512182157,5803.60764293332,4912.23143685424
"CR44969",26.3290934519795,-2.94296277931246,0.879600728553013,-3.34579393101889,0.000820473470960848,0.00190945676761217,51.4719845822657,52.7390522733321,68.7025025439694,6.24188614887297,1.28564343564041,17.6177980805804,21.6662473177693,10.873732596196,6.36299408918943
"Gs1",3276.21191402227,0.803820768028897,0.1145393511947,7.01785682950584,2.25297223206873e-12,7.25530326115792e-11,2364.75313075076,2046.53249187491,2152.67841304437,3887.52471709494,3853.93047223806,3731.05812684291,3667.37346265442,3411.38647177021,4370.6699399299
"CR44185",11.8449218294849,-5.88636514749214,1.70832301733254,-3.4456979668186,0.000569586591275696,0.00138277550968943,23.0736482610156,23.1537302663409,53.4352797564206,0,1.28564343564041,0,0,0,5.65599474594616
"CR44186",8.93527587497922,-4.30793294720078,1.98245205054658,-2.17303260677253,0.0297778632616768,0.0457436945431459,11.2410081271615,28.2990036588611,30.5344455750975,3.12094307443648,0,0,7.22208243925643,0,0
"CG31975",0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0
"CG31976",0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0
"CG31974",412.375423857739,-0.620249373623546,0.235142776672877,-2.6377564405749,0.00834564984946977,0.0146806346413899,572.10815047185,468.219878719338,370.230152598057,356.177628370064,269.556573672605,301.460100489931,485.323939918032,524.904728052732,363.397662427041
"CG11454",221.466447845587,0.0402191413128918,0.213079619427005,0.18875170427395,0.850287425724465,0.875882840724168,195.238562208594,189.088797175117,267.176398782103,196.619413689498,237.415487781595,219.243709447222,232.551054544057,225.382821084789,230.481785897306
"CG42399",169.619475163879,-1.64247252688746,0.305678457718159,-5.37320339532023,7.73499932031988e-08,6.15227556381266e-07,272.150723078646,295.853220069912,416.031820960703,116.255129522759,86.5666579997873,109.621854723611,54.8878265383489,98.8521145108724,76.3559290702731
"CG3709",285.325679297131,0.245251870073077,0.176453070291849,1.38989857001319,0.164559679918796,0.210163112093616,277.47541113888,255.97735127788,244.27556460078,324.578079741394,280.698816781489,328.865564170834,285.994464594555,263.935145744029,306.130715624336
"CG3436",1016.1891165895,0.461257794479845,0.11155944248212,4.1346369631936,3.55516180135074e-05,0.00012317512263416,811.719113182397,800.090012536891,767.177945074325,1111.44585238369,1056.79890409641,1123.62401091701,1236.4205136007,1042.8898080897,1195.53588942437
"CG33635",137.340142904634,0.205784768919599,0.311660447934994,0.660285160606973,0.509070851130413,0.567448893014652,158.557377793646,111.909696287314,129.771393694164,129.129019704809,176.133150682736,160.517715845288,119.886568491657,93.9095087853288,156.246854856763
"spen",19187.5028767574,0.636994288528409,0.0973128074384398,6.54584227190622,5.91609951235309e-11,1.28228017337514e-09,15688.8975534773,13925.6824368559,13057.2922890511,22370.5298396764,21523.3853038679,22531.2062119422,19324.8481909624,20976.4186992071,23289.2653657766
"mRpL10",203.676177170692,0.0892738546327832,0.23758287726244,0.375758790622647,0.707096226672336,0.750383966202042,217.720578462917,203.238299004548,141.221810784826,206.762478681417,230.987270603393,170.30538144561,213.77364020199,226.371342229898,222.70479312163
