"ctrl_1"	"ctrl_2"	"ctrl_3"	"hot_1"	"hot_2"	"hot_3"	"cold_1"	"cold_2"	"cold_3"
"CG3164"	5219.96919504977	3317.4150198274	4099.24931845684	3514.96213758409	3534.66235238736	5394.96127889772	5074.23512182157	5803.60764293332	4912.23143685424
"CR44969"	51.4719845822657	52.7390522733321	68.7025025439694	6.24188614887297	1.28564343564041	17.6177980805804	21.6662473177693	10.873732596196	6.36299408918943
"Gs1"	2364.75313075076	2046.53249187491	2152.67841304437	3887.52471709494	3853.93047223806	3731.05812684291	3667.37346265442	3411.38647177021	4370.6699399299
"CR44185"	23.0736482610156	23.1537302663409	53.4352797564206	0	1.28564343564041	0	0	0	5.65599474594616
"CR44186"	11.2410081271615	28.2990036588611	30.5344455750975	3.12094307443648	0	0	7.22208243925643	0	0
"CG31975"	0	0	0	0	0	0	0	0	0
"CG31976"	0	0	0	0	0	0	0	0	0
"CG31974"	572.10815047185	468.219878719338	370.230152598057	356.177628370064	269.556573672605	301.460100489931	485.323939918032	524.904728052732	363.397662427041
"CG11454"	195.238562208594	189.088797175117	267.176398782103	196.619413689498	237.415487781595	219.243709447222	232.551054544057	225.382821084789	230.481785897306
"CG42399"	272.150723078646	295.853220069912	416.031820960703	116.255129522759	86.5666579997873	109.621854723611	54.8878265383489	98.8521145108724	76.3559290702731
"CG3709"	277.47541113888	255.97735127788	244.27556460078	324.578079741394	280.698816781489	328.865564170834	285.994464594555	263.935145744029	306.130715624336
"CG3436"	811.719113182397	800.090012536891	767.177945074325	1111.44585238369	1056.79890409641	1123.62401091701	1236.4205136007	1042.8898080897	1195.53588942437
"CG33635"	158.557377793646	111.909696287314	129.771393694164	129.129019704809	176.133150682736	160.517715845288	119.886568491657	93.9095087853288	156.246854856763
"spen"	15688.8975534773	13925.6824368559	13057.2922890511	22370.5298396764	21523.3853038679	22531.2062119422	19324.8481909624	20976.4186992071	23289.2653657766
"mRpL10"	217.720578462917	203.238299004548	141.221810784826	206.762478681417	230.987270603393	170.30538144561	213.77364020199	226.371342229898	222.70479312163
"CG11617"	145.541473646406	149.212928383086	99.2369481190669	44.4734388107199	59.1395980394587	74.3862585624505	98.2203211738875	76.1161281733717	72.1139330108135
"Tbc1d15-17"	473.305605354167	472.078833763728	568.704048836191	730.300679418137	757.672531404079	597.047601619668	571.988929189109	518.97360118208	692.859356378405
"kis"	19021.5606471773	16129.1457672027	15858.8276705663	31560.1467223546	32207.0822540397	30069.6662573106	23741.8738108116	26148.361330416	32040.5032364417
"CR44220"	14.7908001673177	15.4358201775606	11.4504170906616	0	0	3.91506624012897	4.33324946355386	0	0
"CR44222"	35.4979204015625	59.1706440139823	91.6033367252925	0.780235768609121	2.99983468316095	7.83013248025794	0	1.97704229021745	2.82799737297308
"CR44221"	23.6652802677084	43.7348238364217	22.9008341813231	0	0	0	4.33324946355386	0.988521145108724	0
"snoRNA:kis-a"	3.54979204015625	0	0	2.34070730582736	0	3.91506624012897	0	0	1.41399868648654
"CG13693"	50.2887205688803	110.623377939184	141.221810784826	5.85176826456841	0.428547811880135	0	18.7774143420667	0	5.65599474594616
"mir-965"	1.18326401338542	1.28631834813005	34.3512512719847	8.58259345470033	2.57128687128081	9.78766560032243	8.66649892710772	1.97704229021745	6.36299408918943
"CR44218"	29.5816003346354	32.1579587032513	57.2520854533078	4.29129672735016	1.28564343564041	0	10.110915414959	0	9.19099146216251
"Rpp30"	127.200881438932	156.930838471866	152.672227875487	72.1718085963437	90.8521361185887	58.7259936019346	83.7761562953746	101.817677946199	107.463900172977
"CG3645"	272.742355085339	360.169137476414	324.428484235411	285.176173426634	344.552440751629	307.332699850124	300.438629473068	310.395639564139	348.550676218932
