"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","ctrl_1","ctrl_2","ctrl_3","hot_1","hot_2","hot_3","cold_1","cold_2","cold_3"
"Nhe1",441.464214233847,0.0198936426840623,0.167101114796808,0.119051525827656,0.905234534307724,0.926221243885798,377.461220269948,378.177594350235,484.734323504673,547.335391679298,477.402262434471,473.723015055606,402.992200110509,389.477331172837,441.874589527044
"Sam-S",4078.42189202275,0.381665618823624,0.142589590741088,2.67667237727505,0.00743573051040488,0.0156414915303844,4188.75460738438,3073.01453368269,3095.42942017551,4416.13445032762,4237.0522160589,4167.58801261729,4106.47607496121,5128.44770082406,4292.90001217314
"CG11455",534.676466428948,0.080893896794103,0.148537164141639,0.544603751267031,0.586026074192418,0.651076160122338,517.086373849428,493.946245681939,484.734323504673,551.236570522344,616.680301295515,559.854472338443,509.879020211504,600.032335080995,478.638555375694
"CG13694",30.6530369996959,-1.8377538719845,0.663758851612239,-2.76870714043313,0.0056279197810719,0.0123263424124002,47.9221925421094,55.3116889695922,95.4201424221797,11.7035365291368,7.2853128019623,3.91506624012897,21.6662473177693,7.90816916086979,24.7449770135144
"CG4822",411.91182801114,-0.293852838393216,0.227437066836792,-1.29201823818843,0.196350828613741,0.257873220205248,486.913141508099,514.52733925202,530.535991867319,381.925408734165,215.131001563828,330.823097290898,424.658447428278,416.167402090773,406.52462236488
"CG3164",4541.25483375692,0.320475375627098,0.200725010486006,1.59658915872589,0.11035731710523,0.156255704398146,5219.96919504977,3317.4150198274,4099.24931845684,3514.96213758409,3534.66235238736,5394.96127889772,5074.23512182157,5803.60764293332,4912.23143685424
"CR44969",26.3290934519795,-2.17306819855771,0.868209894966868,-2.50292954636349,0.0123170060235539,0.02403333047256,51.4719845822657,52.7390522733321,68.7025025439694,6.24188614887297,1.28564343564041,17.6177980805804,21.6662473177693,10.873732596196,6.36299408918943
"Gs1",3276.21191402227,0.801210642324008,0.114646569579318,6.98852695954146,2.77787302248575e-12,2.25705744452637e-10,2364.75313075076,2046.53249187491,2152.67841304437,3887.52471709494,3853.93047223806,3731.05812684291,3667.37346265442,3411.38647177021,4370.6699399299
"CR44185",11.8449218294849,-4.00961373780845,1.59452515869041,-2.51461302818299,0.0119163098837187,0.0233463600590626,23.0736482610156,23.1537302663409,53.4352797564206,0,1.28564343564041,0,0,0,5.65599474594616
"CR44186",8.93527587497922,-3.35654699793066,1.94206628046767,-1.7283380241391,0.0839276397070807,0.123467922332311,11.2410081271615,28.2990036588611,30.5344455750975,3.12094307443648,0,0,7.22208243925643,0,0
"CG31975",0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0
"CG31976",0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0
"CG31974",412.375423857739,-0.057208572170758,0.234289532867524,-0.24417895016721,0.807092229052333,0.84506801989857,572.10815047185,468.219878719338,370.230152598057,356.177628370064,269.556573672605,301.460100489931,485.323939918032,524.904728052732,363.397662427041
