"gene","cold_1","cold_2","cold_3","hot_1","hot_2","con_1","con_2","con_3","con_4"
"CG10869",1496,1184,2364,2937,461,1,18,3985,17276
"CG10874",5201,5679,5672,3349,1777,189,954,181,456
"CG10877",286,457,464,603,3340,67,382,104,260
"CG10880",183,249,308,972,316,194,876,32,86
"CG10881",71,125,156,316,150,0,0,137,432
"CG10887",27,35,193,131,146,0,0,98,314
"CG10889",770,370,513,856,222,165,1184,53,152
"CG10898",358,223,202,868,900,76,432,99,297
"CG10899",38,17,79,348,25,1,0,239,1042
"CG1090",903,659,244,497,32,23,470,257,1268
"CG10903",117,286,96,640,404,104,430,65,260
"CG10904",455,682,820,1146,441,45,311,41,108
"CG10907",210,237,224,578,277,52,345,103,426
"CG10909",9,2,15,26,18,0,0,31,117
"CG1091",1505,1999,1416,3601,1566,509,2923,505,1584
"CG10910",15969,18314,14040,1687,57104,181,994,418,1495
"CG10911",25188,33027,37780,17894,12692,1613,6980,3947,10674
"CG10912",34123,44222,32597,2468,48227,287,1152,504,1526
"CG10914",327,225,220,617,274,60,482,56,156
"CG10915",4388,3571,4113,5019,975,438,2751,352,1161
"CG10916",666,597,342,352,1618,62,401,90,337
"CG10918",35,14,0,0,704,0,2,1,5
"CG10919",39,0,27,127,60,0,1,371,1304
"CG1092",93,4,32,31,578,25,97,137,212
"CG10920",224,151,286,574,157,0,0,488,2176
"CG10924",1783,1084,843,1620,5567,142,538,418,671
"CG10927",79,84,206,275,112,32,301,12,57
"CG10931",1,28,1,96,46,0,0,87,240
"CG10932",546,569,728,1634,2937,847,4258,506,1029
"CG10933",25,116,60,37,187,7,45,9,35
"CG10934",162,351,294,699,130,0,1,715,2303
"CG10936",1284,1080,701,1279,3340,80,625,81,158
"CG10943",27,58,74,45,184,19,46,53,46
"CG10947",690,860,1483,2949,663,35,306,540,2135
"CG10948",1735,1150,1389,3150,988,236,1463,369,1418
"CG10949",547,1137,641,1480,630,137,563,71,224
"CG10950",73,66,120,289,29,0,1,362,1035
"CG10953",98,148,65,0,28696,5,48,1,0
"CG10958",398,191,203,650,362,21,229,483,1810
"CG10959",680,648,467,1640,248,110,711,73,209
"CG10960",1698,1529,2182,5545,5644,1127,5479,1564,2795
"CG10962",808,679,216,353,9034,43,253,62,56
"CG10969",417,424,721,668,136,0,1,446,1953
"CG10970",18,18,56,98,4,1,4,42,169
"CG10973",257,559,402,1449,366,76,309,61,282
"CG10979",2213,2141,2588,6677,1073,760,3344,335,809
"CG10984",2037,2614,2047,3068,1331,273,1450,408,1306
"CG10993",0,44,0,4,8,0,0,18,76
"CG10996",0,9,0,28,0,0,0,180,550
"CG11000",1208,705,746,556,260,18,315,285,870
"CG11007",490,360,225,1696,454,279,1654,178,613
"CG11018",77,67,140,484,92,0,1,689,2196
"CG11023",174,283,393,453,100,1,18,276,832
"CG11029",57,67,33,73,400,11,211,30,86
"CG1103",918,872,821,2466,1449,235,1157,122,383
"CG11030",4637,4241,3392,4786,1895,320,1823,210,571
"CG11034",2049,1737,1689,2688,4202,345,2571,523,2248
"CG11035",170,135,120,1416,236,36,191,112,214
"CG11037",40,44,270,678,0,0,2,694,3816
"CG1104",1520,1422,1683,1982,2946,193,1235,464,1821
"CG11041",0,1,0,16,0,0,5,0,2
"CG11043",311,76,403,644,131,7,78,573,2496
"CG11044",0,26,42,99,125,14,203,114,571
"CG1105",864,796,539,1683,3670,150,835,274,813
"CG11050",2218,2812,2119,8604,3243,778,4832,970,3010
"CG11052",5,37,1,113,2,1,38,51,255
"CG11060",8,108,68,424,68,2,1,301,1035
"CG11068",201,738,161,834,54,3,7,554,2650
"CG11069",120,50,14,109,136,30,189,55,209
"CG11070",1241,1168,1544,3373,998,499,2762,611,2092
"CG11073",32638,37587,31600,7529,6286,166,1023,815,2618
"CG11076",838,1391,1322,4651,1984,519,2757,259,752
"CG11077",67,116,66,484,248,69,342,60,224
"CG11085",2,32,0,0,0,0,10,1,10
"CG11089",10810,7680,4589,3704,1872,783,4093,1451,1049
"CG1109",1970,2685,2352,5169,1442,534,3827,415,1365
"CG11095",354,436,574,672,358,69,539,40,177
"CG11099",169,275,216,519,17,14,257,156,726
"CG11103",214,186,120,486,153,40,420,43,168
"CG11106",80,43,178,858,148,0,1,331,1440
"CG11107",1148,1279,1319,3114,1831,572,4332,503,1936
"CG11109",297,205,504,1031,663,137,876,154,553
"CG11110",204,166,301,905,450,77,669,188,761
"CG11112",188,424,708,652,1,0,3,90,390
"CG11113",29,92,150,237,0,2,0,27,67
"CG11122",9845,9013,8609,10046,1563,706,5255,933,3924
"CG11123",1362,1592,1674,2703,1228,173,1109,87,307
"CG11125",684,742,1060,1785,667,93,662,993,2839
"CG11127",454,301,262,939,783,162,883,95,359
"CG1113",38,20,0,20,0,3,34,17,46
"CG11131",41,10,31,87,2973,0,13,52,167
"CG11134",873,814,721,1397,1503,232,1562,211,614
"CG11137",180,137,274,1035,463,327,1609,275,833
"CG11138",5756,4918,5851,4651,1060,331,1955,503,1584
"CG11141",641,725,604,1974,746,195,1351,658,2323
"CG11145",34,64,28,167,23,0,0,172,1001
"CG11147",263,180,417,1964,344,261,1038,1647,3726
"CG11148",9799,12396,13587,24935,6723,1760,7509,1336,3476
"CG11149",62,70,15,259,303,30,150,258,459
"CG11151",9785,12803,9801,11349,36309,499,3194,1239,4022
"CG11155",441,376,333,843,1221,121,699,650,2210
"CG11158",40,32,173,94,415,37,230,58,158
"CG11159",106,44,24,1,0,0,0,0,2
"CG1116",498,525,499,1303,585,183,998,150,583
"CG11160",156,158,309,274,329,26,295,86,633
"CG11162",0,56,12,9,258,12,46,9,61
"CG11164",461,683,564,1829,164,158,1352,42,18
"CG11165",1,4,36,79,4,1,1,261,840
"CG11168",1018,1113,1392,1670,1869,153,998,371,1552
"CG11170",53,59,63,58,43,36,194,8,61
"CG11178",1088,771,490,1782,489,251,1595,171,613
"CG11180",783,892,1593,2811,1079,284,1000,77,139
"CG11190",1123,1356,1108,2871,1135,424,2204,330,1213
"CG11191",377,113,155,142,17,9,173,61,419
"CG11192",48,98,0,4,14,4,62,9,67
"CG11200",1066,1347,1095,2206,713,165,910,246,529
"CG11208",2025,2320,1557,5516,6170,883,5605,496,1440
"CG11210",1050,1359,1084,2392,2440,302,1492,470,1131
"CG11211",142,70,114,344,48,15,41,61,118
"CG11221",136,476,199,227,384,9,106,45,151
"CG11226",325,195,365,464,128,1,18,329,958
"CG11227",126,47,69,319,38,0,1,326,1125
"CG11231",0,0,0,0,0,3,15,1,14
"CG11236",30,33,119,356,756,23,222,135,302
"CG1124",100,230,206,458,815,93,426,228,669
"CG11241",803,908,819,1679,2340,120,761,315,630
"CG11247",2098,1496,1911,3703,1449,240,1453,340,1168
"CG11248",584,475,582,2021,684,168,977,202,709
"CG11249",233,115,362,517,39,9,26,612,2363
"CG11251",7,42,103,247,21,0,0,332,1604
"CG11257",55,150,109,596,271,34,160,45,141
"CG1126",0,0,86,6,0,0,14,13,32
"CG11261",154,115,106,538,133,37,149,48,128
"CG11262",167,248,148,418,25,2,0,786,3657
"CG11263",113,167,64,857,0,33,340,4,7
"CG11266",5527,5793,5343,6960,3296,811,6769,1213,5026
"CG11267",1583,1844,1441,9369,5546,699,4523,305,712
"CG11269",0,0,0,7,1,1,1,9,25
"CG11275",391,174,145,598,461,83,825,465,1537
"CG11279",89,201,237,446,250,65,375,60,184
"CG11284",2025,2614,2231,8010,4168,908,5066,507,1329
"CG11286",1,0,0,36,1,0,0,91,384
"CG11289",0,0,0,1,14,1,48,5,6
"CG1129",2209,2233,1437,1803,1823,246,1172,363,1002
"CG11291",27,0,28,169,3,0,0,422,1484
"CG11294",152,42,52,99,105,0,13,87,448
"CG11298",36,92,236,386,0,0,1,301,1378
"CG11300",10202,7137,5515,10,72447,0,0,13,44
"CG11306",574,802,686,2258,2686,224,1070,249,847
"CG11307",562,534,218,1394,320,146,780,72,144
"CG11309",388,888,253,1920,3743,330,1615,737,1462
"CG11313",0,4,0,14,640,4,13,1,3
"CG11317",317,568,61,149,102,13,180,59,453
"CG11318",197,116,244,135,673,35,165,61,208
"CG11319",1323,970,718,749,130,25,383,293,1255
"CG11320",7,33,4,14,8,8,36,10,48
"CG11321",1470,1483,2485,3733,1386,127,1499,899,4897
"CG11322",31,100,36,140,20,0,1,162,654
"CG11327",491,554,628,2391,578,1,1,931,3214
"CG11329",123,693,184,436,45,92,523,22,23
"CG11333",0,96,0,56,30,0,13,106,408
"CG11334",558,696,661,2259,2683,450,2848,486,1151
"CG11337",398,381,641,1867,816,253,1377,167,466
"CG11340",227,525,190,504,1081,37,138,147,364
"CG11342",14,1,0,103,43,35,109,20,24
"CG11345",273,80,27,25,2364,0,8,2,1
"CG11349",176,88,57,0,3000,0,0,0,0
"CG11350",1355,647,656,4,255465,0,4,0,0
"CG11353",68,111,47,250,7,20,114,41,139
"CG11356",0,0,0,0,0,0,2,1,0
"CG11357",1073,1318,890,2769,796,364,1991,226,814
"CG1136",173,172,119,452,240,20,290,103,420
"CG11360",1018,915,451,1247,732,152,733,272,816
"CG11362",5,1,0,42,10,1,1,79,230
"CG11367",361,574,706,2014,504,153,1087,106,456
"CG11368",472,320,629,1540,746,18,133,87,253
"CG11369",134,53,248,553,107,0,2,531,1629
"CG1137",414,527,553,1232,84,0,5,876,3247
"CG11370",1678,1392,570,0,22095,0,7,0,4
"CG11373",33,28,78,154,36,0,0,101,383
"CG11374",22,28,6,28,56,1,12,30,55
"CG11377",995,1289,1484,1898,803,320,1843,250,733
"CG11378",1920,1976,2216,2000,12724,190,869,250,959
"CG11379",40,112,42,118,57,0,1,205,1057
"CG1138",32,18,2,115,49,0,0,113,281
"CG11380",690,404,270,34,0,1,18,3,3
"CG11381",3304,6283,8307,11425,26,845,3175,150,2
"CG11382",479,715,351,407,138,15,135,2,3
"CG11384",26,0,0,1,103,1,17,22,46
"CG11388",955,460,612,1095,219,89,729,159,735
"CG1139",153,57,26,81,508,33,76,231,202
"CG11391",0,0,170,38,0,5,82,24,179
"CG11395",1382,1598,1401,2383,5207,214,608,680,615
"CG11396",465,750,436,1365,559,134,640,153,531
"CG11398",124,297,54,761,88,95,592,28,88
"CG11399",6284,6682,6450,8715,591,961,5940,357,846
"CG11400",96,214,395,251,56,60,231,219,325
"CG11403",555,726,686,2196,287,225,1281,38,72
"CG11404",21,57,56,130,45,0,1,192,559
"CG11406",970,470,244,0,0,7,21,6,61
"CG11407",112,117,314,381,35,41,323,351,902
"CG11409",514,517,534,631,120,8,141,34,110
"CG11412",7059,8868,7331,8164,4838,745,4809,459,1197
"CG11413",31,13,8,46,40,0,12,21,33
"CG11414",2352,2473,1863,7195,2629,700,4085,805,2591
"CG11417",4110,6841,6718,6929,1527,705,3380,177,354
"CG11418",434,787,618,1367,438,225,1306,139,695
"CG1142",1172,1599,2058,1764,1258,102,453,48,175
"CG11423",114,203,366,262,281,5,7,172,512
"CG11425",66,108,47,95,521,13,94,17,134
"CG11426",145,265,408,677,442,68,460,229,1037
"CG1143",794,735,546,1241,5325,49,564,127,874
"CG11436",163,327,479,1099,273,208,1177,70,130
"CG11437",0,0,0,12,4,2,11,21,67
"CG11438",72,201,75,177,168,6,61,117,593
"CG11444",2308,2987,3626,6920,4935,539,2485,373,1289
"CG11447",51,274,104,280,254,76,388,77,160
"CG11448",8847,11492,11154,6491,2568,476,3088,737,3108
"CG11449",0,0,0,0,0,1,7,2,41
"CG11453",145,286,296,207,1362,46,160,84,223
"CG11454",528,688,598,715,858,122,647,89,254
