"gene","ctrl_1","ctrl_2","ctrl_3","hot_1","hot_2","hot_3","cold_1","cold_2","cold_3"
"Cyp317a1",359,204,118,114,134,50,81,109,118
"CG10249",1144,536,163,1121,976,252,258,554,639
"CG10253",283,145,49,103,80,8,46,80,72
"CG12853",11,4,8,0,0,0,0,0,0
"Lap1",1507,621,191,3669,3317,773,663,1035,1969
"CG10257",125,90,19,17,5,0,12,4,17
"aPKC",3301,1355,451,6546,5314,1323,1552,2408,3984
"ckn",1537,646,229,2069,1690,408,624,1000,1305
"pcs",2229,793,254,4835,4279,806,901,1321,2397
"CG7639",531,247,66,703,690,202,268,341,502
"CG10265",418,236,65,1309,1162,259,346,426,668
"CR43830",27,51,9,0,0,0,3,0,0
"hbs",292,203,69,103,65,14,28,19,60
"CG43101",27,15,3,0,0,0,5,1,0
"Obp51a",35,5,12,7,0,0,0,0,0
"CR45256",52,52,10,0,4,0,3,0,0
"CR43622",61,28,8,0,0,0,9,0,0
"CG33467",32,37,11,0,0,0,6,1,0
"CR44457",40,21,5,0,0,0,4,0,0
"chn",3373,1486,639,9566,9406,1764,2329,3029,5385
"Rpb12",1027,522,156,1445,1480,367,531,830,972
"CG8089",218,138,46,419,339,77,86,115,181
"CG7544",281,155,60,513,482,69,158,117,301
"igl",652,232,90,524,407,124,147,296,317
"CR43831",27,9,4,0,0,0,0,0,0
"CG43068",48,34,10,0,0,0,0,0,6
"Sfp51E",33,11,13,23,0,0,5,0,3
"CG43829",16,16,12,0,0,0,5,2,0
"GPHR",293,192,54,450,401,38,86,129,241
"CG11807",857,317,133,1702,1813,375,521,562,1006
"CG42391",47,29,3,17,5,0,4,4,5
"row",1684,831,220,3432,3367,574,856,1236,1923
"Ir51b",70,67,25,0,0,0,0,5,4
"CG8093",158,69,31,44,84,14,21,30,44
"CG11808",295,154,46,455,516,129,180,215,421
"mRpL41",279,121,57,354,400,88,103,186,238
"CR44463",12,17,7,0,0,2,0,0,0
"CG8079",514,238,83,613,704,152,203,246,447
"Hex-C",764,213,107,776,689,126,310,442,483
"Fs",444,231,71,725,490,153,177,243,260
"CR44370",216,145,66,0,4,2,17,0,6
"scb",1687,666,255,2349,2045,471,662,1316,1701
"ItgalphaPS4",232,123,63,77,53,16,39,30,40
"Trpm",3184,1333,510,6608,5091,1268,1141,1934,2590
"CR44241",31,33,17,45,38,8,8,5,7
"CG8102",87,59,16,164,116,30,29,15,6
"CG8152",285,157,57,506,544,140,146,195,308
"mus210",2157,967,351,4883,4368,875,1132,1499,2598
"CG8155",927,356,127,2010,1638,290,398,561,830
"Arf51F",2120,921,300,4069,3591,768,1004,1545,2344
"CG8157",112,69,29,131,89,13,18,64,37
"CG8160",91,53,18,0,3,1,4,5,2
"CR44371",43,34,11,6,0,0,0,0,0
"Hr51",114,137,47,12,5,0,7,3,2
"unc-5",391,231,73,199,132,51,56,89,74
"Pms2",679,302,117,1625,1628,313,349,474,951
"CR44458",39,37,15,13,7,1,5,3,9
"CR44459",20,11,1,0,0,0,1,0,0
"dup",2162,1072,369,7910,8075,1668,1879,2049,4530
"SRPK",7164,2780,957,15234,14611,3070,3735,5808,8166
"CG43729",5117,1916,647,5770,4265,1110,1534,2945,2611
"CR45020",27,14,13,4,0,0,0,0,0
"Mtk",1410,267,127,238,440,505,138,315,88
"CG30472",25,32,26,10,0,0,3,0,0
"CG34188",41,64,18,0,0,0,5,0,1
"CG8180",3063,1698,512,10785,11409,1782,2754,2896,5605
"CG12964",228,167,66,41,257,0,8,6,152
"Ir52a",90,78,37,34,0,1,6,2,0
"Ir52b",117,55,39,0,2,2,5,0,0
"Ir52c",137,55,24,26,0,0,16,0,0
"Ir52d",53,76,27,10,0,0,0,1,0
"GalNAc-T1",837,350,144,2026,1754,378,401,731,973
"Khc-73",3808,1458,507,7374,6700,1393,1544,2518,3983
"CG30471",111,126,43,13,1,3,18,4,0
"CG30467",342,169,41,656,606,109,179,260,398
"CG8187",373,164,62,401,340,98,121,198,280
"Vha36-1",1727,538,242,2296,2622,483,689,1054,1260
"eIF2B-gamma",525,202,96,624,635,96,216,308,381
"CG8192",99,93,27,84,37,1,12,23,35
"CG12963",680,307,126,386,338,68,98,184,167
"CG8195",320,171,81,696,520,83,132,140,311
"Flo1",615,245,99,780,883,181,232,397,498
"CG30466",157,88,41,53,74,9,19,18,43
"Cdk5",426,208,70,445,625,102,145,244,381
"CG8204",108,60,42,153,159,21,37,44,46
"CG42524",389,163,90,335,205,34,109,202,178
"mir-278",0,0,0,0,0,0,0,0,0
"fus",4393,1649,596,7544,6764,1431,1744,2664,3833
"CR45143",43,20,5,20,18,7,7,22,15
"CG8207",530,229,107,752,819,167,250,362,453
"Vha14-1",670,248,120,1168,1147,198,331,509,585
"CG30091",130,94,30,3,3,0,1,11,0
"CR43429",132,101,27,8,1,0,2,3,0
"Ranbp11",768,293,112,1597,1479,232,360,489,734
"CG30082",42,32,10,6,4,0,0,0,4
"Cep89",62,47,23,0,0,0,6,0,4
"CG30090",20,58,18,38,19,0,8,10,9
"CR44372",138,83,27,18,3,0,1,0,0
"CG30088",37,69,8,0,1,0,4,0,2
"CG30087",50,60,14,0,0,0,1,0,2
"CG33460",61,44,18,11,10,1,4,8,18
"CG33461",70,56,21,9,0,0,4,0,0
"CG33462",64,43,12,12,3,0,3,0,1
"CG42662",0,0,0,0,0,0,0,0,0
"CG30080",0,0,0,0,0,0,0,0,0
"CG30083",56,33,21,2,4,0,3,2,0
"CG30089",985,497,125,1036,973,204,247,574,572
"Zasp52",17484,6442,1834,24177,18552,5780,6170,13320,12935
"tun",1224,696,203,2533,2366,450,602,1154,1529
"CG33465",147,97,34,49,5,0,0,3,9
"Poxn",130,107,29,8,7,2,4,9,4
"CG8249",217,148,76,196,169,20,48,52,70
"CG12970",71,45,16,5,22,6,23,45,12
"Gpo-1",2982,1173,397,3451,2372,737,1368,2431,2050
"Rif1",1395,753,196,4724,4583,773,1026,1098,2370
"sli",1439,658,284,2216,1571,362,350,860,1131
"CG33463",38,29,13,20,4,2,0,5,3
"CR44373",24,50,15,11,0,0,0,4,2
"bdg",837,511,185,1254,1156,267,372,546,714
"Iap2",717,343,89,1118,1257,254,295,438,719
"CG8297",124,64,23,67,176,31,40,68,92
"Mlf",2758,1204,446,8338,7876,1648,1432,2088,3281
"CG8299",117,50,31,116,138,5,37,52,71
"Cyp4aa1",302,115,38,167,166,34,34,140,239
"CG30093",36,15,1,17,0,0,0,4,4
"mir-4919",0,0,0,0,0,0,0,0,0
"Strn-Mlck",9026,3333,1118,9113,7839,2245,2390,5066,5104
"CG8366",262,118,34,468,336,82,99,119,185
"CR45021",28,24,7,9,6,0,1,0,0
"CG8314",423,161,56,727,642,92,160,297,319
"Pex11",255,95,41,594,420,83,77,128,248
"CG8320",291,84,48,380,363,74,103,150,216
"ATPCL",4740,1773,745,8328,7783,1566,2115,3515,5230
"CG8370",1156,645,183,2620,2329,408,547,839,1258
"CG8386",487,182,52,713,594,137,234,360,396
"CG8389",222,156,45,474,450,118,109,124,219
"CG8388",370,177,48,580,529,118,138,184,387
"Prosbeta1",862,417,126,1849,2076,318,530,613,834
"Rrp42",206,110,37,184,202,48,59,98,130
"CG8397",781,324,85,1156,1365,280,357,468,739
"CG8399",593,302,83,1100,1185,227,257,466,630
"casp",2612,1123,348,5053,5229,1013,1350,2389,3542
"CG8401",121,54,22,0,11,1,10,6,14
"SP2353",884,384,150,523,485,150,171,377,280
"CG8405",2997,1218,460,5996,5096,1119,1418,2534,3508
"mir-137",1,0,0,0,0,0,0,0,0
"CR43415",22,15,12,17,0,0,0,0,6
"Dg",4306,1696,620,7434,6558,1392,1831,3116,4512
"mRpL34",61,32,18,141,80,22,14,30,41
"CG8414",1366,569,230,2797,2923,528,714,1137,1691
"Rho1",11253,4420,1409,16724,14916,3810,5382,8797,10581
"Ric",1583,523,221,2783,2729,572,746,983,1713
"Asph",1517,596,214,1545,1129,353,504,886,804
"Jhedup",160,139,37,58,52,14,31,42,37
"Jhe",131,106,46,44,22,4,18,45,27
"CG30095",14,12,12,0,0,0,8,0,0
"spin",5869,2339,977,7639,6342,1917,3185,4600,6997
"Got1",841,329,171,2113,2000,322,423,694,911
"CG30094",149,96,14,242,200,45,79,114,152
"Aats-cys",639,304,98,1225,1101,200,282,448,629
"Ext2",375,211,73,756,602,108,151,230,401
"CG10731",151,98,32,220,192,39,68,95,118
"lbk",1086,528,202,1743,1750,365,450,861,1006
"CG10734",51,38,18,27,0,0,5,0,0
"CG8435",578,262,93,1159,1181,266,332,427,843
"Ptp52F",599,327,111,731,539,147,169,254,346
"Lis-1",2758,1128,399,5824,5078,1138,1387,2236,3499
"CG8441",609,273,111,968,828,207,295,485,627
"clu",5886,2037,729,9725,9057,1764,2184,4180,5491
"calypso",342,142,87,716,645,143,151,233,426
"CG44242",639,298,68,859,833,189,305,473,532
"CG44243",19,14,2,9,0,8,1,0,10
"CG42837",0,0,0,0,0,0,0,0,0
"shark",915,389,157,2105,2114,396,472,648,1081
"mrj",2119,715,341,4480,4018,863,975,1335,2953
"CR43898",87,60,13,0,0,0,7,0,3
"CG7798",25,16,5,0,0,0,0,0,0
"CG15706",346,223,74,379,250,54,130,163,241
"Tsf3",224,105,60,98,84,26,31,59,48
"CG15701",139,130,32,29,6,3,15,11,27
"CG7786",44,18,12,5,5,0,1,0,0
"CG3687",44,42,6,4,3,0,2,0,0
"krimp",1147,479,177,3297,3013,759,716,740,1961
"CG15708",25,39,10,0,0,0,0,0,0
"CngA",280,240,85,44,56,4,42,25,26
"fidipidine",650,337,101,1353,1417,303,403,604,874
"csul",519,285,110,1213,1185,246,354,445,745
"Khc",3289,1378,516,8099,7814,1427,2003,3008,4240
"CG33017",286,202,56,21,5,2,18,0,1
"cato",41,31,11,16,0,0,0,0,0
"CG15704",14,50,19,0,4,0,2,0,0
"CG15705",26,27,6,0,0,0,0,0,0
"CG7755",80,60,11,1,6,0,3,0,0
"CG9068",171,123,52,18,0,6,5,3,0
"CR43728",22,17,5,0,7,0,0,4,0
"CG30324",28,42,10,21,25,0,3,4,10
"CG30099",30,27,12,5,12,3,3,0,3
"CR43730",76,71,31,73,44,4,13,6,9
"JhI-26",547,289,70,467,444,121,201,460,440
"CG42372",0,0,0,0,0,0,0,0,0
"CG30100",0,0,0,0,0,0,0,0,0
"CG7747",319,178,55,553,573,118,185,207,401
"Atg9",586,339,138,838,714,165,269,283,419
"CG43265",82,43,43,23,28,1,7,33,29
"CR45232",510,263,80,303,239,21,44,168,191
"Nox",466,445,160,1031,1018,175,332,366,753
"CG8060",954,404,161,1015,1437,269,366,515,968
"CG30096",109,69,26,125,146,23,39,37,56
"CG4282",724,341,101,1798,1828,397,419,503,1071
"Vha44",8029,2999,1051,11353,9879,2556,3164,6090,6969
"Hmgs",1573,558,201,1765,1880,417,600,921,1267
"CG7997",489,230,106,758,898,209,191,321,480
"Nup62",1245,613,174,3066,2678,584,749,1031,1689
"wcd",536,289,80,957,833,168,244,428,574
"CG15710",42,64,12,0,0,0,2,0,0
"CG30098",48,35,11,0,0,2,1,1,3
"CR43416",42,36,10,0,0,0,2,0,0
"CR45322",30,40,5,0,0,0,2,0,0
"CG6262",169,154,27,33,0,4,14,0,0
"CG15711",126,113,32,15,5,1,27,15,0
"CR45316",99,67,21,0,0,0,5,2,0
"CR45317",73,27,19,1,0,0,0,0,0
"CG43187",275,209,67,65,20,2,29,65,19
"Sema-2b",451,232,87,395,215,45,76,107,245
"Menl-2",0,0,0,0,0,0,0,0,0
"Menl-1",0,0,0,0,0,0,0,0,0
"CG4398",190,70,22,157,134,25,56,84,81
"CG7848",120,89,28,3,0,0,7,0,3
"CG4409",50,27,18,0,18,10,10,10,9
"CG15925",66,45,20,21,0,0,5,5,7
"CheB53a",27,45,10,8,0,0,5,0,0
"CheB53b",18,23,31,0,0,0,6,0,0
"CG15712",30,25,7,31,1,0,5,0,2
"CG33458",46,38,24,0,5,5,3,2,0
"CG33459",57,61,30,0,0,4,4,8,1
"S-Lap8",129,101,34,17,0,0,4,9,5
"CG7813",134,99,25,5,0,0,11,2,0
"Sema-2a",2326,939,339,4983,4528,751,940,1501,2667
"loopin-1",119,104,25,3,0,0,7,5,2
"Syn2",287,175,47,197,144,45,54,80,80
"DAT",202,142,60,66,22,12,15,9,12
"CG4945",307,161,65,201,175,41,64,108,156
"RpS15",8540,3824,1181,14987,14338,2844,4061,6114,7493
"CG4927",97,78,22,38,8,3,2,4,2
"CG8317",412,290,56,1469,828,170,363,398,232
"Cdk4",564,296,81,925,867,128,232,262,468
"CR44375",95,48,26,26,12,2,3,8,20
"RpLP2",18370,10989,2546,28394,31381,6079,8521,17652,16178
"CG8311",375,301,62,801,675,160,235,340,474
"CG8306",857,297,159,874,940,282,246,518,587
"CG8303",1162,579,173,1150,1138,194,418,939,1171
"CG5089",83,60,13,14,0,0,7,6,8
"CG5065",4405,1675,578,4585,3708,1059,1742,3234,3237
"Alk",1324,582,231,1409,893,280,303,544,493
"gprs",448,356,98,117,110,24,49,69,47
"Amyrel",144,62,32,13,20,3,8,2,5
"Nach",90,78,25,9,8,3,2,6,12
"Picot",5010,1442,605,3299,2889,627,1596,2599,3222
"CG34457",51,61,17,8,3,0,0,3,4
"CG34458",38,20,15,6,0,0,0,0,0
"CG30463",1966,847,278,4940,4453,887,1101,1379,3081
"CG5210",2316,1051,333,4590,4787,973,1107,1655,1917
"CG43104",61,36,28,0,0,0,0,0,0
"CR44464",31,13,4,0,1,0,1,0,0
"Sfp53D",49,14,9,7,7,0,1,0,0
"CG15617",215,53,25,126,124,47,18,56,55
"Acp53C14a",48,28,8,12,6,1,0,0,0
"Acp53C14b",27,48,3,0,7,1,2,0,0
"Acp53Ea",8,26,0,0,1,2,0,0,0
"Acp53C14c",37,10,7,0,0,4,4,0,0
"unc-104",2983,1165,427,4190,3261,733,932,1584,1980
"CG34189",26,25,5,0,0,2,3,0,0
"CG5267",42,83,4,8,0,1,8,2,0
"CG42392",68,31,12,55,53,24,32,31,58
"CG5348",122,64,44,0,1,0,1,5,0
"Sod2",1333,567,201,2600,2455,444,620,975,1234
"Arp53D",122,45,21,0,0,0,8,0,0
"Vkor",26,49,10,0,0,0,0,0,0
"resilin",138,117,48,22,0,0,13,6,3
"CG5522",1662,881,212,3148,2944,693,927,1450,1841
"CG15919",21,15,8,23,0,0,1,0,8
"CG15615",126,72,16,15,21,2,7,0,9
"CR44465",20,25,3,24,3,7,3,1,5
"CR44379",23,17,9,1,0,0,8,0,0
"CR44380",51,44,10,20,10,7,4,5,0
"CG5550",117,59,66,139,166,42,67,129,145
"CR43417",231,84,27,160,231,82,17,38,75
"CG34459",104,85,32,11,28,6,11,16,23
"CG34460",46,26,9,3,1,6,2,1,2
"CR43650",1118,677,215,393,227,109,421,596,553
"mir-8",0,0,0,0,0,0,0,0,0
"Ugt37c1",103,84,15,14,15,2,11,6,0
"CR44466",36,26,6,0,0,1,3,0,3
"CR44467",52,34,12,1,14,1,5,5,11
"IntS8",636,371,118,1444,1399,267,406,542,681
"Fen1",157,156,25,345,357,78,95,87,247
"Dek",3909,1569,565,9473,9117,2060,2308,2797,5203
"snoRNA:Dek-a",102,36,16,228,138,22,38,36,133
"Psi",1731,681,253,2819,2584,668,708,1122,1423
"Ef1beta",10698,4824,1349,19156,18201,3918,5170,9666,10370
"CG6426",737,195,84,738,821,272,214,456,459
"CG6421",155,58,18,148,77,13,38,44,42
"CG6429",56,78,14,45,50,16,25,38,31
"CG6435",123,42,30,149,89,18,20,61,29
"CG8910",235,165,54,168,59,23,31,39,43
"CG6472",125,82,26,20,0,0,8,3,0
"mir-990",22,12,0,3,11,0,1,8,3
"inaC",504,208,64,357,321,106,152,207,204
"Pkc53E",913,431,126,689,673,165,208,417,404
"CG43788",26,13,7,5,4,4,0,0,5
"CG43789",23,31,12,27,11,3,0,16,15
"CG15614",64,78,19,37,8,3,4,0,10
"CG34190",48,56,25,4,6,0,5,0,1
"Vha16-4",38,46,32,18,0,0,1,0,0
"mute",1931,826,317,5306,4758,887,1004,1250,2999
"CG34191",265,112,36,358,334,54,139,177,191
"PIG-V",466,293,88,1025,1056,258,292,336,614
"CG6665",445,220,46,730,701,114,250,282,401
"CG9010",87,69,12,16,0,5,2,0,0
"CR44376",29,26,14,16,0,0,2,0,0
"CR44377",102,82,24,7,0,0,2,0,0
"Cbp53E",982,376,114,950,569,188,318,570,454
"ste24c",9,3,3,0,0,0,0,0,0
"CG30461",0,0,0,0,0,0,0,0,0
"ste24b",90,64,21,20,6,0,1,2,3
"ste24a",516,211,64,1015,950,157,307,388,510
"CG6796",211,148,59,216,227,49,83,95,151
"NiPp1",323,142,70,640,770,89,138,257,365
"CG6805",1039,534,146,1355,1277,301,528,948,933
"Ehbp1",2456,950,300,3585,3089,846,925,1813,1915
"CG8963",5118,2277,805,11628,11480,2355,3014,4750,7215
"Ark",751,328,144,1363,1051,179,236,348,430
"CR44390",141,98,49,47,24,0,13,12,18
"RhoGEF2",5916,2375,891,14209,13641,2423,3174,4514,7900
"CG43328",0,0,0,0,0,0,0,0,0
"CG43327",0,0,0,0,0,0,0,0,0
"CG43371",7,26,2,0,0,0,3,0,0
"CR45144",43,72,23,44,30,11,15,10,2
"CR45145",82,55,20,7,4,8,7,6,3
"CG9640",140,117,25,209,68,29,26,35,35
"CG9642",174,70,21,83,44,3,13,25,37
"CG9646",964,440,150,1386,1316,262,364,516,828
"fat-spondin",581,245,113,937,809,214,220,288,249
"tef",983,417,129,2969,2700,440,570,682,1348
"CG8950",547,270,103,1160,1098,206,250,361,700
"CG6967",1404,580,253,3963,3881,723,859,1369,2404
"CG30460",1587,682,166,2004,1513,462,464,934,991
"Sply",1124,458,149,1733,1601,288,427,908,959
"CG6984",196,114,37,398,332,52,78,172,193
"GstS1",1865,646,218,4319,4202,995,982,1336,1921
"CG30456",698,318,97,1009,749,201,266,429,679
"CG15611",329,185,44,386,273,70,116,146,273
"Amy-p",9353,1419,657,5614,8311,2632,1657,3527,5566
"CR45272",172,140,44,41,24,8,5,7,6
"Spn53F",82,71,16,11,0,0,4,0,0
"Amy-d",1459,221,84,1463,2160,414,304,425,767
"CG15605",61,30,9,0,1,0,9,6,2
"Cda9",101,66,24,21,21,2,6,14,23
"CR45273",30,5,6,0,1,0,2,2,2
"Acp54A1",20,28,1,0,0,3,2,0,1
"CG11400",689,346,107,1055,771,213,346,512,569
"Gbp",199,123,31,197,211,45,120,130,141
"CG11395",1373,483,146,1972,1420,378,645,809,855
"CG43103",356,144,45,257,245,84,150,342,137
"CG43107",90,45,19,95,137,24,40,31,87
"CR44386",25,35,11,0,20,5,2,6,1
"snoRNA:U3:54Ab",0,0,0,0,0,0,0,0,0
"snoRNA:U3:54Aa",0,0,0,0,0,0,0,0,0
"CG17290",81,80,47,8,4,1,4,1,0
"CG17287",62,42,14,12,0,0,0,2,7
"CG30458",7,4,9,5,3,0,3,0,1
"CG30457",20,15,7,0,0,0,5,0,0
"CG10953",68,78,16,28,14,4,16,6,3
"CR44387",27,53,3,9,0,0,0,0,1
"CR44388",8,16,4,0,0,0,0,0,0
"CR44389",20,12,6,4,0,0,0,0,0
"CR45323",8,23,12,0,0,0,0,0,5
"CG10950",127,84,27,14,0,0,10,0,0
"CG43237",28,7,12,0,0,0,9,6,0
"mbl",5860,2327,718,7806,5727,1662,2036,3766,3425
"CG18469",34,24,3,0,0,0,4,0,0
"CG12699",44,25,13,18,0,0,6,1,0
"CR43660",56,28,9,0,0,0,1,0,0
"CG43272",22,34,2,9,0,0,0,0,0
"CG43108",10,27,5,1,0,0,0,0,0
"CR43661",39,13,7,0,0,0,2,0,0
"CR44344",47,47,20,0,8,0,1,0,0
"Sip1",1417,673,205,3183,3387,740,848,1217,1721
"CG6568",481,235,78,1040,933,160,230,340,589
"CG30101",142,122,29,84,305,24,64,75,104
"Prosalpha5",1127,583,138,2462,2674,459,624,1074,1374
"cnk",1637,610,184,3509,3732,660,776,1122,1852
"l(2)k01209",1410,664,253,2180,2352,507,710,1013,1609
"CG6550",343,133,52,254,352,60,85,124,232
"Mtap",848,483,134,1884,1806,543,492,840,872
"Bap55",554,236,69,1378,1318,205,287,420,593
"Lhr",186,75,39,265,172,60,52,82,128
"EDTP",1785,827,278,4379,3849,868,1008,1549,2636
"CG18467",85,63,28,24,13,10,14,18,5
"mthl4",157,91,28,59,88,10,14,18,26
"mthl3",165,81,41,160,122,52,35,56,75
"CG10764",139,86,37,0,20,3,14,0,10
"robls54B",57,24,2,0,0,1,2,0,0
"robl",216,128,43,408,315,43,117,141,209
"CG14478",6850,3400,1008,18444,17513,3824,4740,7040,11723
"Tes",828,410,121,1991,1947,347,488,646,1127
"qkr54B",1742,739,250,3428,2925,806,777,1334,2047
"CG6520",62,43,19,4,10,3,9,0,1
"CG43110",483,369,130,127,71,31,44,35,54
"veil",443,214,96,515,462,88,168,316,219
"NT5E-2",601,216,82,436,394,107,137,220,190
"CG30103",93,101,27,10,1,0,3,2,0
"CG43164",123,128,62,19,1,1,11,0,38
"CG34193",75,91,27,6,0,0,9,3,0
"CG4847",358,185,70,661,460,106,114,228,319
"CG4853",745,308,131,1310,1209,330,347,591,684
"APC10",166,82,37,227,206,61,73,58,157
"CG4866",277,134,39,432,414,68,115,193,248
"Patronin",3003,1280,475,6426,5722,1122,1454,2196,3194
"eIF3-S9",8123,3081,1000,15411,15144,2935,4094,5822,7852
"CG43370",235,193,57,54,42,5,22,26,26
"CG34194",107,48,18,54,88,8,24,45,35
"cyp33",226,79,29,329,295,82,102,181,209
"RpL18A",11326,5441,1482,20610,20266,3973,5549,9266,10403
"MESR4",5163,2343,737,13605,12814,2575,3149,4461,7651
"Klp54D",188,142,58,32,6,4,6,6,7
"CG43324",66,49,9,74,33,8,33,38,35
"CG14480",832,342,122,1639,1335,252,344,515,833
"Ns2",982,405,150,1300,1216,277,413,725,823
"POSH",1073,508,156,2511,2491,503,624,723,1442
"CG14482",1788,871,314,2355,2532,421,883,1569,1528
"CG42239",348,133,58,688,599,114,136,287,290
"Rab4",1053,437,149,1680,1505,435,537,686,1171
"Dcr-2",2284,998,309,3849,3858,748,1049,1616,2288
"CG6484",297,73,35,307,208,66,81,48,128
"CR45274",26,17,1,0,10,0,4,1,0
"CG14483",1292,762,188,1422,1342,366,546,1235,1233
"CR45275",36,33,21,6,10,9,4,0,10
"RhoGAP54D",1098,615,188,3460,3391,799,845,896,2181
"icln",261,130,49,588,456,85,121,144,193
"CG30105",112,70,25,181,169,36,52,53,108
"lack",3538,1400,459,8601,8434,1605,1994,2477,4610
"CG11423",171,73,38,9,5,3,13,25,6
"CG43920",43,20,3,10,3,0,0,2,4
"CG42649",1,6,12,0,0,0,0,0,0
"CG10936",864,386,150,869,917,125,252,450,671
"CG44403",57,36,10,31,15,9,5,6,13
"snoRNA:Or-aca4",23,10,4,17,24,1,6,4,10
"rhi",276,146,55,603,467,101,146,165,213
"Oxp",369,101,64,321,400,104,174,339,369
"CCHa1-R",174,140,51,26,24,6,11,9,12
"eIF3-S8",6221,2401,757,11901,10199,2106,2986,4629,5844
"CG30108",108,30,1,7,49,12,39,25,19
"CG30109",708,476,94,922,1131,228,485,452,514
"CR44404",265,52,4,14,75,53,7,15,6
"P32",1093,499,117,1638,1915,324,651,714,967
"Sema-1b",3521,1343,451,7510,6873,1354,1714,2801,4160
"HPS4",938,468,152,1769,1564,320,410,617,904
"CG42561",58,57,15,17,7,0,9,17,8
"CG42562",40,45,14,29,18,8,8,0,14
"swi2",190,127,72,140,89,56,33,93,134
"rdgBbeta",643,207,149,1167,972,229,269,315,856
"CR45146",42,40,26,0,7,11,4,0,0
"Uhg1",507,143,86,429,357,159,174,337,385
"snoRNA:Me28S-G3081a",9,0,3,0,0,0,0,4,0
"snoRNA:Me28S-A3407a",11,4,2,0,6,0,4,3,3
"snoRNA:Me28S-A1666a",9,2,1,0,0,0,5,5,0
"snoRNA:U29:54Eb",17,11,3,15,0,0,1,3,4
"snoRNA:U29:54Ec",14,4,5,0,0,0,0,2,0
"snoRNA:U76:54Eb",11,3,3,5,0,0,0,0,2
"snoRNA:U29:54Ed",7,2,2,0,0,0,0,0,3
"snoRNA:U27:54Ea",2,0,2,0,0,0,2,1,2
"snoRNA:Me28S-G3277a",13,8,4,0,5,0,0,7,7
"snoRNA:snR38:54Eb",2,4,0,0,1,0,0,0,13
"snoRNA:U31:54Eb",8,0,1,0,0,0,0,0,3
"snoRNA:U31:54Ec",10,5,1,0,0,0,0,4,6
"snoRNA:U31:54Ed",9,2,0,18,0,0,0,2,0
"snoRNA:U27:54Eb",17,3,5,0,0,0,9,1,21
"snoRNA:snR38:54Ec",18,17,2,0,2,0,0,8,0
"snoRNA:Me18S-A28a",5,0,1,0,1,0,4,4,0
"CG6424",5930,2067,651,12939,9573,2648,2458,3980,5268
"CG10934",49,26,14,11,5,0,0,6,0
"CG10933",96,106,24,32,1,0,10,3,3
"Snx16",527,293,89,1463,1157,224,315,376,704
"CG4975",6,12,4,0,0,0,1,4,6
"CG4984",102,40,16,150,94,25,31,56,43
"CG34195",120,65,27,210,128,85,13,53,144
"CG6406",792,378,135,1796,1926,324,465,647,1180
"CG6401",221,85,53,251,198,53,49,36,154
"CG4996",883,455,143,2248,1916,295,438,429,1030
"Ir54a",116,92,30,14,0,1,2,0,0
"sub",638,316,125,1626,1611,349,434,461,1085
"CG10931",59,38,10,0,1,0,0,0,0
"CG5002",342,129,72,194,177,45,46,122,65
"CG6385",160,117,54,56,91,28,6,59,77
"HLH54F",42,46,11,24,13,16,1,3,15
"CG5009",607,279,119,882,842,160,210,365,455
"OstDelta",1574,617,224,2931,3017,582,770,1312,1511
"mir-3643",0,0,0,0,0,0,0,0,0
"CR44416",14,3,3,0,0,0,0,0,0
"CG14488",9,33,3,13,0,0,1,3,0
"CG18635",171,110,19,126,82,18,20,64,53
"CG6362",76,81,26,36,18,11,4,7,4
"fab1",0,0,0,0,0,0,0,0,0
"CG33981",0,0,0,0,0,0,0,0,0
"mir-31a",8,10,7,13,2,0,0,0,0
"aft",644,177,149,1216,1160,320,232,468,1270
"UbcD10",1654,713,234,2738,3092,600,997,1292,1941
"CG5033",1907,592,250,2816,2383,473,862,1193,1564
"Dhit",1794,659,293,2619,2104,602,575,1378,1721
"CR45270",42,53,13,0,4,0,3,1,0
"grh",1291,639,221,883,761,198,268,506,608
"olf186-F",1610,814,245,3876,3613,593,903,1098,1401
"olf186-M",1584,853,295,5322,4665,1195,896,1256,2588
"CG30323",53,36,11,79,27,4,6,17,28
"CG14490",62,48,4,83,42,30,5,7,14
"thr",873,454,176,2783,2740,433,576,536,1719
"Mapmodulin",5686,2346,900,13230,13195,2801,3516,4870,8338
"CR44417",312,154,87,438,353,130,112,187,277
"Elk",417,289,102,123,61,15,57,25,33
"CG30325",88,66,18,0,6,0,9,0,0
"CG30110",63,57,6,9,0,0,0,0,0
"PPO1",601,226,75,401,418,108,161,217,319
"CG14492",21,21,20,9,0,0,2,0,0
"CG14491",19,31,10,0,0,0,0,0,2
"CR44418",44,17,4,25,0,0,0,0,0
"PpY-55A",36,52,20,18,0,0,4,0,0
"dpr13",287,174,66,241,123,12,44,86,102
"CR44419",45,27,19,0,0,0,10,0,0
"CG5084",46,66,31,10,17,4,11,4,2
"CG10910",1441,288,171,1565,1552,295,644,1497,1389
"CG5773",573,458,126,1430,955,358,314,862,775
"CG5770",214,93,44,179,409,45,75,422,84
"CG5767",1492,599,207,2008,3594,655,968,2486,1040
"CG34005",41,45,6,14,5,1,4,3,3
"CG14495",164,42,33,178,135,24,77,134,116
"Muc55B",61,65,32,34,69,5,15,23,31
"CG10911",10782,2098,1184,11093,10012,2258,4967,9247,7747
