"gene","ctrl_1","ctrl_2","ctrl_3","hot_1","hot_2","hot_3","cold_1","cold_2","cold_3"
"RpS9",37315,17335,4709,49948,50502,13219,17398,29042,30777
"snoRNA:Me28S-G3253",9,9,3,0,3,0,4,0,2
"CG33703",33,28,4,0,0,0,4,0,0
"CG33702",34,39,13,10,0,0,0,1,0
"CG33700",62,22,15,0,0,0,11,0,0
"Or67a",81,56,15,14,0,0,1,0,0
"Ir67a",63,62,19,6,0,0,2,0,0
"CG42673",1863,696,247,1635,1385,391,550,1034,1242
"CG14177",8,5,3,43,28,2,2,10,0
"CG3222",99,38,15,70,48,8,11,1,6
"CG3088",335,168,46,257,272,82,112,169,227
"CG3306",56,42,10,131,42,27,1,0,0
"CG3280",468,290,105,712,498,164,37,45,41
"LanB2",2012,727,315,2390,2217,476,562,1255,1176
"CG3335",1378,549,171,1590,1794,420,626,861,1345
"Or67b",120,142,30,0,3,0,9,0,0
"CG8336",879,325,116,1667,1471,342,428,540,913
"fry",2787,1257,421,3883,3819,728,879,1574,2090
"CG8329",294,116,27,294,256,68,66,183,118
"CG18179",512,106,39,249,397,46,54,45,90
"CG18180",7538,3691,968,13714,13321,2246,2762,4666,4394
"CG33696",143,147,47,16,27,3,5,7,6
"CG16717",250,163,36,648,597,96,162,139,341
"alphaTub67C",1653,796,239,5030,5271,962,1238,1312,2567
"CG6767",7484,3721,943,13751,11498,2411,3407,5372,7061
"CG16719",35,25,6,7,0,0,5,0,0
"CR45121",16,40,10,15,7,2,0,3,0
"UbcD4",3991,2164,617,8124,7277,2184,2338,3564,6116
"CG6761",163,94,57,30,2,0,9,0,5
"CG16711",3395,1525,522,6950,6602,1430,1805,2984,4131
"SH3PX1",1255,467,182,2482,2230,517,628,933,1309
"vsg",18040,7639,2366,30146,23084,8508,8449,16186,19489
"snmRNA:838",0,0,0,0,0,0,0,0,0
"CG18178",1342,564,185,2114,2118,427,612,853,1242
"CG14174",130,78,25,128,137,30,24,41,78
"nbs",889,336,114,1602,1607,315,402,565,869
"defl",232,131,61,257,353,56,90,101,157
