"gene","ctrl_1","ctrl_2","ctrl_3","hot_1","hot_2","hot_3","cold_1","cold_2"
"CG15385",284,177,40,259,143,47,62,114
"Uch",1380,647,203,3414,3984,594,917,925
"CG34174",161,93,29,293,202,58,79,60
"CG10880",467,226,79,955,1306,160,266,351
"CG15386",0,0,0,0,0,0,0,0
"CG42371",0,0,0,0,0,0,0,0
"mio",633,319,112,1001,1117,196,330,389
"papi",1173,572,160,1802,1405,317,415,799
"CG15387",331,131,47,636,691,147,196,260
"rti",4566,1541,621,7428,7464,1724,2247,3334
"CR44114",74,56,22,11,8,4,6,2
"Sec24CD",3303,1503,540,6630,5996,1296,1629,2654
"CR44115",48,38,12,0,9,0,5,0
"Tengl3",91,43,14,5,1,0,4,0
"Tengl2",44,30,11,9,1,2,1,0
"Tengl1",86,56,21,8,2,0,5,0
"CG4267",548,277,105,1058,968,171,242,337
"CR42859",114,74,31,2,8,3,1,0
"Ser12",3,15,4,50,41,0,11,3
"CG17239",201,103,21,124,96,32,26,89
"CG17234",48,36,16,32,1,4,2,0
"Send1",396,237,55,310,367,68,119,260
"CR44787",31,17,6,0,0,0,0,0
"CR44788",17,14,4,0,0,0,0,0
"CG4270",34,30,6,0,0,0,12,0
"CG34049",26,33,7,0,0,0,0,4
"CG17242",60,47,10,14,0,0,10,0
"CR43753",138,149,35,14,5,0,14,0
"CR43754",79,39,22,0,0,0,15,0
"CG4271",39,32,5,0,0,0,0,0
"CG31681",266,115,36,121,134,51,66,97
"CG42658",44,29,11,5,0,0,2,0
"CG17237",56,33,14,18,8,2,1,0
"robl22E",35,21,5,0,0,3,0,0
"CG31949",58,38,12,0,0,0,4,0
"CG16995",89,35,16,0,26,6,7,17
"CG9967",191,157,42,462,463,83,82,99
"eys",1682,683,238,1194,928,386,320,707
"Rab5",4163,1825,539,8414,7472,1560,2099,3058
"Axud1",1924,916,286,4814,4814,951,1093,1618
"CG3597",464,153,68,541,530,113,186,407
"CG3609",1050,336,177,1827,2279,449,430,785
"CG15390",132,44,17,291,248,41,44,83
"CR44982",56,35,1,17,0,6,5,1
"Atxn7",688,357,114,1229,1203,277,266,482
"Eogt",467,224,67,449,524,116,117,303
"CG9870",91,40,29,49,59,19,21,11
"CG3557",32,49,3,0,0,0,1,1
"CG43750",9,40,8,0,2,0,0,0
"VGlut",1109,425,191,787,675,206,241,386
"CG18641",107,52,43,28,31,0,11,1
"CG31948",72,72,27,0,0,0,0,0
"CG34448",73,53,9,2,0,0,5,0
"CG34447",60,40,15,14,0,0,0,0
"CG9886",228,152,57,218,210,34,78,97
"CG44139",5,8,0,0,1,0,0,0
"CR44912",48,25,14,0,5,0,8,0
"dpp",943,466,128,949,790,195,382,560
"CR45286",50,58,31,8,0,0,2,0
"Slh",915,422,127,1540,1290,254,388,500
"oaf",2054,883,243,4939,4823,1122,1159,1678
"CR44607",27,4,14,0,0,0,2,0
"CG3528",55,52,13,0,0,0,0,0
"CR44112",16,26,4,0,0,0,0,0
"CG3515",79,86,38,21,0,0,3,0
"CR44113",12,33,5,1,0,0,1,7
"Cyp309a1",199,92,29,145,201,44,47,52
"Cyp309a2",111,86,52,112,124,31,12,24
"Rad1",0,0,0,0,0,0,0,0
"CG34314",0,0,0,0,0,0,0,0
"insv",783,439,145,2667,2731,534,730,819
"Elba2",1242,715,188,3918,3803,696,930,1123
"CG3214",1371,631,151,1819,1877,347,581,851
"Arpc5",759,417,115,1166,1271,288,414,632
"Drp1",1608,738,244,4398,4013,808,1066,1367
"CG15394",77,34,4,37,33,18,18,23
"CR44790",35,55,11,0,0,0,1,0
"CR44789",24,12,5,0,0,0,3,0
"CG15395",73,32,19,0,0,0,0,0
"CG43403",45,3,9,8,0,0,3,0
"CR45705",71,80,11,0,0,2,7,2
"CR43852",19,10,6,0,0,0,0,0
"CG9962",48,42,7,0,0,1,4,0
"CG43851",36,16,6,0,0,0,0,0
"CG33125",155,87,38,22,0,5,14,0
"Prosbeta4R1",31,48,16,0,0,0,2,0
"Or23a",58,63,27,5,0,0,0,0
"Prosbeta4R2",92,76,28,8,0,0,3,0
"CG9879",68,64,14,1,1,0,8,0
"Gr23a",103,101,33,28,0,0,5,0
"CG31690",296,181,56,107,41,12,56,46
"CG15398",57,23,16,0,1,0,5,0
"CG31689",1900,728,362,3468,3321,852,1337,1820
"mir-4914",0,0,0,0,0,0,0,0
"Hrs",825,412,111,1636,1996,283,562,825
"CG9961",80,69,32,31,4,0,11,6
"Cwc25",1514,728,220,3339,2783,698,845,1264
"Pgk",2057,817,264,4070,3503,802,949,1558
"Bacc",13919,6581,1667,18606,16216,3853,5692,11633
"CR44772",11,7,3,0,0,0,2,0
"CG9960",0,0,0,0,0,0,0,0
"Snapin",0,0,0,0,0,0,0,0
"Trn-SR",446,241,85,857,839,181,198,297
"CG3077",431,149,56,687,636,150,162,212
"aph-1",339,188,49,539,705,121,187,202
"Taf10b",212,104,29,355,284,40,93,63
"Taf10",244,125,23,371,467,108,126,150
"colt",797,332,106,1458,1407,246,334,402
"CG2862",772,424,87,1514,1886,308,400,613
"CG15399",33,31,7,6,3,0,2,3
"Syt1",3492,1292,452,4012,2697,1038,1055,2071
"CR43821",25,9,14,11,0,0,0,0
"daw",1039,494,202,833,346,93,785,1268
"CG2964",82,89,23,9,0,0,5,0
"G6P",64,88,22,6,8,7,10,10
"Duox",1391,677,239,3611,3421,568,650,944
"CG3123",145,80,45,56,19,4,4,10
"CG3119",83,78,32,2,4,0,8,0
"Cpr23B",50,32,7,15,0,0,0,0
"CR45342",19,5,3,11,0,0,0,0
"CG2975",145,70,22,18,14,1,6,5
"CG18558",120,78,14,0,0,0,8,0
"CG18557",74,46,18,17,0,1,0,0
"CG3117",84,60,16,12,0,2,5,0
"CG2983",75,38,35,11,2,5,0,2
"CG3104",372,230,92,609,475,124,107,119
"RpS21",8103,3278,1008,10086,10867,2205,3940,5334
"CG2991",1797,729,254,3445,2837,716,727,1148
"CG31694",3245,1220,443,5791,6031,1129,1503,2173
"CG8813",46,47,16,21,0,3,9,0
"CG8814",1748,749,298,3119,2868,668,969,1397
"Prx6005",144,130,26,265,246,50,61,133
"CG31950",75,42,10,66,66,13,11,43
"betaggt-II",241,121,31,275,239,33,81,110
"NTPase",1887,787,243,3591,2830,757,863,1371
"lilli",6363,2798,843,14513,11913,2863,2887,5308
"Rbp9",4314,1755,461,5093,3751,1192,1156,2460
"Ts",350,208,47,860,1019,225,230,223
"Rrp1",1067,476,137,2713,2564,443,660,768
"gammaTub23C",340,136,49,708,656,94,151,194
"CG9641",1245,646,169,3036,2804,619,682,940
"CG3165",546,231,108,981,988,197,239,349
"CG9643",290,151,56,409,408,74,95,222
"Chd1",4688,2238,722,12535,12537,2186,2697,4168
"Bem46",435,178,72,632,746,129,157,205
"okr",442,243,96,872,785,170,190,319
"CG3558",2808,1183,388,5697,4847,980,1353,2069
"CG17265",527,274,87,628,375,116,141,342
"CG17224",548,179,85,438,529,131,170,432
"CG17264",206,205,45,21,73,5,13,51
"alpha4GT1",337,214,76,896,796,165,217,259
"CG3542",1140,366,189,2001,2098,377,487,638
"CG3605",1180,606,156,2464,2172,503,585,973
"CG17219",347,150,33,333,241,67,100,135
"CR44147",45,16,14,0,0,0,9,2
"GABPI",347,175,47,486,642,134,172,285
"CG17258",147,98,49,9,3,3,8,14
"CG17259",1015,435,136,1738,1623,287,474,799
"CG17260",173,113,43,389,277,53,89,123
"cnir",170,72,50,392,387,64,102,113
"CG17221",278,159,46,375,229,70,92,125
"CG17261",55,50,11,55,25,7,12,13
"v(2)k05816",5160,2168,735,5698,4029,1026,1836,3905
"CR43708",25,24,8,43,19,16,5,14
"snRNA:U5:23D",22,12,1,29,8,0,18,1
"CG3523",52676,20555,7625,57371,46675,14216,24487,43882
"toc",5348,2284,791,12602,12082,2286,2648,4146
"PpD6",78,70,14,17,0,0,2,8
"CG15403",38,43,20,9,0,0,2,0
"CG12400",782,302,92,885,922,166,294,465
"Mad",1703,715,267,3907,3559,741,962,1311
"gkt",237,161,65,826,771,137,169,248
"Hydr2",1394,670,232,3984,3680,883,855,1187
"CG44002",201,55,44,227,243,39,98,74
"CG31698",31,35,11,0,0,0,0,0
"CG15404",25,11,3,0,0,0,0,0
"CG34393",238,141,43,41,26,5,24,35
"CR45336",30,33,4,0,0,0,0,0
"CR45337",23,7,4,0,0,2,0,0
"CR45338",24,11,4,0,0,0,0,0
"CR45706",85,60,22,1,6,1,4,1
"CR44484",20,5,5,0,0,0,0,0
"CG3347",66,45,20,4,0,0,2,0
"CG3332",576,344,101,336,383,89,190,310
"CR44485",39,32,17,0,0,0,1,0
"CG9664",295,141,57,164,90,33,39,89
"CG9663",708,245,123,1161,932,190,226,459
"CG3277",305,186,51,124,72,7,58,62
"CG15406",673,275,62,365,346,59,204,305
"CG3326",198,163,49,361,331,59,57,78
"CG8837",225,173,72,96,77,19,42,57
"CG33281",167,82,33,63,38,25,42,25
"CG33282",162,104,35,101,33,10,16,22
"CG3285",188,101,40,74,59,12,33,55
"CG15408",221,123,34,46,76,23,49,54
"E23",3244,1430,441,9013,7835,1721,1774,2705
"CG8838",69,51,12,0,1,0,6,0
"CG34394",3214,1326,462,8256,6666,1507,1618,2718
"CG15412",237,169,48,99,92,34,41,124
"CG9662",261,133,46,577,517,120,173,252
"Ptpa",265,144,47,488,612,119,164,202
"CR45301",7,15,5,0,0,0,2,0
"Sfp23F",5,7,1,0,0,0,0,0
"CG42460",17,20,7,0,0,0,0,0
"CR44791",18,3,2,0,0,0,8,0
"CR44792",20,21,10,0,0,0,5,0
"CG34175",36,24,15,0,0,0,1,0
"pgant2",494,248,86,464,309,119,92,146
"CG8840",23,20,2,0,0,0,0,0
"CG31952",45,44,21,0,0,0,7,5
"CG2772",152,63,17,126,46,11,13,26
"Snx1",975,299,140,1829,1584,363,376,539
"CG12795",515,296,94,2332,1982,450,379,465
"Cog3",448,214,83,798,832,161,200,338
"Sec5",428,251,67,740,621,114,180,296
"CG3246",591,307,61,902,633,207,265,419
"msl-2",386,188,86,485,342,64,80,136
"mir-4971",0,0,0,0,0,0,0,0
"Pdsw",2821,1275,337,3844,3678,973,1183,2233
"CG3238",491,190,78,1077,1118,176,252,317
"CG31776",128,56,33,54,25,11,7,0
"pgant4",222,105,41,78,83,28,42,75
"CR45372",32,29,12,0,0,0,4,0
"CR43928",92,22,23,25,11,0,2,11
"Thor",4028,2431,384,3969,3391,815,3031,5052
"CG15414",122,61,22,38,16,11,12,25
"tim",2305,959,235,1279,867,199,381,850
"CR45299",30,29,5,0,0,0,4,1
"CG31954",50,31,7,11,0,0,8,0
"CR45300",14,16,3,0,0,0,0,0
"CG33123",2121,996,354,4026,3791,711,865,1344
"CG17593",1498,747,204,2639,2565,497,760,1229
"CG3213",108,51,36,42,3,0,19,0
"CG8851",141,120,19,16,2,1,5,9
"Sr-CIV",66,36,9,0,13,1,6,4
"CG8852",186,179,35,51,52,5,35,31
"Spindly",693,319,146,1827,1681,340,490,535
"Che-13",52,44,10,0,0,1,0,4
"CR44308",46,8,3,0,0,0,0,0
"drm",1137,406,136,1074,917,281,445,931
"CR44309",59,51,7,0,0,0,4,4
"CR44747",7,2,3,0,0,0,1,0
"CR43822",24,14,16,0,0,0,4,0
"CG43815",28,17,5,0,0,0,3,0
"sob",168,121,55,82,41,4,16,42
"CR43823",84,78,22,14,0,0,2,8
"odd",550,210,90,291,146,37,133,181
"CR44310",61,37,17,27,18,0,13,18
"Dot",204,127,34,205,137,29,77,103
"CG15418",82,35,27,152,153,13,47,54
"for",5958,2615,950,14444,13212,2594,3427,4983
"mir-4972",4,4,0,25,0,2,4,1
"CG34340",234,126,49,110,70,14,39,69
"Sfp24Ba",28,32,6,0,0,0,1,0
"CG42463",28,38,9,0,0,0,1,0
"Sfp24Bb",31,10,8,0,0,0,4,0
"Sfp24Bc",25,10,2,0,0,0,0,0
"CG16704",233,80,26,186,379,77,54,73
"CG3513",24,18,3,2,4,0,0,2
"Acp24A4",20,20,7,0,3,5,5,0
"CG43165",46,21,14,43,31,7,12,7
"CG16713",165,33,6,233,257,38,66,110
"CG16712",2026,683,221,2560,2662,557,805,1572
"CG3604",81,38,22,71,68,12,25,19
"CG10031",222,109,24,186,144,18,49,127
"CG42464",4,8,3,0,0,0,0,0
"CG42465",9,27,3,0,0,0,0,0
"Sfp24C1",10,21,0,0,0,0,2,0
"CG42467",27,18,9,0,1,0,3,0
"CG43145",52,24,11,0,0,0,4,0
"CR44311",20,13,3,0,0,0,0,0
"CG2816",51,37,8,15,5,3,4,15
"CG31778",585,201,75,543,483,79,279,287
"CG31777",241,144,48,379,314,100,112,248
"cutlet",569,290,113,1150,1226,235,258,358
"CG31955",180,91,29,298,236,55,69,102
"CG2818",617,389,139,1680,1103,249,317,436
"lectin-24A",34,45,17,6,0,0,7,4
"Shaw",660,331,95,511,317,98,131,211
"CG10019",409,241,110,241,149,52,69,89
