"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","cold_1","cold_2","cold_3","hot_1","hot_2","con_1","con_2","con_3","con_4"
"betaTub60D",6430.9229518708,-2.53107497027873,0.394824288210172,-6.41063644223273,1.44913394619819e-10,4.83606328556838e-08,18382.2721883513,14105.7804907999,11624.6910115001,2182.00094911539,2906.54656788561,1704.05675183688,1880.88957339879,2358.537682085,2733.53135186419
"CG5554",21030.792705293,-2.51776920851423,0.393374587816136,-6.40043685203945,1.54933019630023e-10,5.05292916293371e-08,66099.7453060011,49223.5511581034,39143.3972931998,6706.2606011143,11276.03727136,4306.40586380497,4504.43966907772,3932.68087966273,4084.61630531272
"CG10073",707.626055004651,13.4873118697483,2.11101108018088,6.38902940698573,1.66941956269074e-10,5.20786320100264e-08,0,0,0.779500503688063,15.2069401385812,6304.23133514208,11.5659960531915,2.58541522116672,24.094028534353,10.171279448797
"CG7029",8727.35450939332,-1.67824366592464,0.262651244667603,-6.38962769069886,1.66290128412217e-10,5.20786320100264e-08,16313.0445027828,15323.0853318094,14936.009151167,5093.93502488268,4606.93828337306,4726.63705373759,4976.92430074594,6277.83299033975,6291.78394570166
"CG14770",2411.7107081633,-7.95323303462016,1.25091024163735,-6.35795660623099,2.04455205237489e-10,6.24240892586802e-08,11628.3970522066,6273.47001642519,3741.6024177027,7.40850929828313,51.1279513540645,0,0,0,3.39042648293233
"CR45520",181.374341624417,-4.69626842767215,0.744784049686825,-6.30554377426167,2.87183819681174e-10,8.58559960921842e-08,58.1743043189878,39.5462293299009,42.0930271991554,1.94960771007451,1.54933185921408,254.451913170213,304.432642292381,463.140770715897,467.031248023928
"CG14194",6209.33064650043,-2.621347054459,0.417413377501996,-6.27997854344394,3.38619758618449e-10,9.71838707234948e-08,16751.7757145219,15276.348878965,13864.1959585959,2451.43673464769,2520.7629349413,1395.63019041844,1771.65578030449,864.707912955113,987.46171315404
"CG9812",13664.3206484675,-4.68906631472242,0.746474477552969,-6.2816163924234,3.35070800231752e-10,9.71838707234948e-08,59750.6663707426,32285.5416249311,23810.6223856556,920.604760697183,2073.78069355804,601.431794765958,584.95019378897,1873.97999711634,1077.30801495175
"CG15005",65.2194809238013,-5.47136793603047,0.872217511989322,-6.27293978947014,3.54293943263061e-10,9.96885899181358e-08,230.273287929327,179.036565511733,94.3195609462556,6.23874467223843,0.774665929607038,11.5659960531915,16.8051989375837,26.7711428159478,21.190165518327
"CG31269",53.9127203974437,10.2345836214512,1.63488761615185,6.26011446923857,3.84694988291331e-10,1.06161020807319e-07,0,0,0,44.0611342476839,296.697051039496,26.9873241241135,50.415596812751,18.7397999711634,48.3135773817856
"CG15545",177.343176391006,-5.65206814457965,0.903960204783804,-6.25256301623525,4.03770737846089e-10,1.09322831850781e-07,872.614564784818,305.584499367416,285.297184349831,5.06898004619372,14.7186526625337,11.5659960531915,16.158845132292,40.1567142239217,44.9231508988533
"GstD7",234.563448364324,12.8503974431211,2.06314028616507,6.22856212410412,4.70735425881487e-10,1.25093580766654e-07,0,0,0,13.6472539705216,2073.00602762843,3.8553320177305,6.4635380529168,10.7084571263791,3.39042648293233
"CG12003",63.9671678408507,-10.1032989373746,1.62759743790523,-6.20749252983457,5.38366671640343e-10,1.40464758873435e-07,138.163972757596,66.1500563336525,129.397083612218,0,0,26.9873241241135,63.9890267238763,53.5422856318955,97.4747613843044
"CG15765",9219.41159113109,-5.27325546668984,0.859459066947033,-6.13555161553124,8.48642056187761e-10,2.17464526898114e-07,33983.4894396754,22820.3313904072,19681.6082176199,887.461429625916,430.714256861513,339.269217560284,714.867308652598,1574.14319757773,2542.81986219924
"CR43735",75.6776669911856,19.2761346198795,3.15184971698953,6.11581653654824,9.60637940961024e-10,2.4184481496124e-07,0,0,0,10.1379600923874,17.0426504513548,0,0,329.285056636158,324.63333574077
